input:inputSize	input:crf	input:Bitrate	input:scalingRatio	measure:time	measure:benchtime	measure:PAPI_L2_DCM	measure:PAPI_FP_INS	measure:PSNR	measure:outBitrate
5587649	20	0	0	30778.2620	355.0410	38807783	28070271	43.725	7818.27
5587649	20	0	0	30813.2578	354.7611	38901597	28064820	43.725	7818.27
5587649	20	0	0	30915.6250	355.0020	38859805	28067773	43.725	7818.27
5587649	45	0	0	28540.5620	194.0685	38750245	28072198	28.155	331.49
5587649	45	0	0	27993.4082	192.9027	39232612	28068544	28.155	331.49
5587649	45	0	0	28567.5300	193.4676	38466079	28070248	28.155	331.49
2634649	40	0	0	14243.5430	114.2396	21006258	17866562	30.858	501.04
2634649	40	0	0	14221.5171	114.2066	21583855	17866634	30.858	501.04
1783843	40	0	0	9883.4099	81.3926	15244127	14541354	31.022	445.48
1783843	40	0	0	9979.3689	81.5796	15229672	14544032	31.022	445.48
5587649	25	0	0	30176.2109	314.5842	38677125	28070758	39.784	3861.46
5587649	25	0	0	30005.2429	315.2381	38787203	28070974	39.784	3861.46
5587649	25	0	0	30178.2119	314.5922	38652913	28072267	39.784	3861.46
4759483	45	0	0	23822.2012	163.0532	32609303	24674869	28.256	322.88
4759483	45	0	0	23660.4600	163.1232	32570485	24675470	28.256	322.88
4759483	45	0	0	23701.9600	163.0792	32607711	24676306	28.256	322.88
3474735	40	0	0	19597.1282	147.3006	26872003	21268460	30.902	609.35
3474735	40	0	0	19851.8381	146.7737	26715496	21264408	30.902	609.35
3474735	40	0	0	19511.6418	147.0586	26811193	21265843	30.902	609.35
4759483	35	0	0	24669.5320	205.3078	32513489	24674096	33.381	1073.80
4759483	35	0	0	24334.5359	205.3808	32724772	24677888	33.381	1073.80
4759483	35	0	0	24529.6670	204.8749	32721527	24677552	33.381	1073.80
3474735	30	0	0	20619.9338	186.6506	26863510	21268462	36.498	1917.99
3474735	30	0	0	20567.5701	186.8446	26835440	21266882	36.498	1917.99
3474735	30	0	0	20446.6680	186.7646	26800591	21267635	36.498	1917.99
4759483	25	0	0	25390.0361	262.7081	32867195	24682695	39.901	3787.55
4759483	25	0	0	25603.6899	262.8060	32878953	24678794	39.901	3787.55
4759483	25	0	0	25634.5391	262.3021	32759692	24674130	39.901	3787.55
3474735	23	0	0	21252.1150	219.3117	27021967	21269979	41.910	4835.15
3474735	23	0	0	21395.7380	219.2317	27006256	21272267	41.910	4835.15
3474735	23	0	0	21279.8918	219.0347	26931364	21271260	41.910	4835.15
2634649	50	0	0	13604.0381	89.6604	20968787	17872218	26.255	120.00
2634649	50	0	0	13674.3640	89.6004	20960624	17875597	26.255	120.00
2634649	50	0	0	13603.6631	90.0153	20945638	17870886	26.255	120.00
4759483	20	0	0	26242.1589	295.6551	32843173	24679739	43.902	7648.41
4759483	20	0	0	26407.2642	295.7500	32897560	24679860	43.902	7648.41
4759483	20	0	0	26265.6260	295.8540	32911290	24683244	43.902	7648.41
2634649	40	0	0	14428.9890	114.2706	20949167	17868457	30.858	501.04
4759483	50	0	0	23226.1531	141.2255	32654863	24674307	26.229	148.62
4759483	50	0	0	23118.2830	141.6095	32576427	24674644	26.229	148.62
4759483	50	0	0	23104.9771	141.3605	32600520	24681502	26.229	148.62
1783843	35	0	0	10306.9470	89.9503	15247903	14545332	33.645	772.84
5587649	35	0	0	28847.2371	244.9208	38673515	28067763	33.278	1090.68
927395	20	0	0	6300.4270	59.7479	9358348	11153749	46.408	3305.20
927395	20	0	0	6281.6980	59.7839	9372586	11154435	46.408	3305.20
927395	20	0	0	6294.9070	59.8819	9377061	11154137	46.408	3305.20
1783843	20	0	0	11669.7219	119.5888	15266759	14549035	45.142	5028.58
927395	30	0	0	5817.0178	54.2947	9357341	11152031	37.153	1132.57
1783843	25	0	0	11107.6521	107.7046	15265896	14547674	40.570	2629.40
1783843	25	0	0	11000.4128	107.8246	15228054	14548156	40.570	2629.40
1783843	25	0	0	11115.3689	107.7316	15263036	14545010	40.570	2629.40
927395	45	0	0	5300.3420	45.6201	9362231	11154476	28.655	171.66
927395	45	0	0	5295.9529	45.4921	9371845	11155225	28.655	171.66
927395	45	0	0	5316.1082	45.5651	9366703	11155392	28.655	171.66
2634649	23	0	0	15849.3621	165.8168	21062551	17868845	42.155	3970.48
2634649	23	0	0	15790.6958	165.9358	21077932	17864745	42.155	3970.48
2634649	23	0	0	15933.2671	165.9948	21030965	17867919	42.155	3970.48
2634649	30	0	0	15258.7729	143.6042	21011384	17864217	36.494	1549.66
2634649	30	0	0	15245.7141	143.5442	21026760	17864627	36.494	1549.66
2634649	30	0	0	15291.3110	143.5402	21082711	17861710	36.494	1549.66
1783843	20	0	0	11721.7610	119.8658	15340353	14546785	45.142	5028.58
1783843	20	0	0	11571.5830	119.8238	15280686	14549670	45.142	5028.58
