module:input:0:N	module:input:0:ops	module:measure:time:time	module:output:0:rssUsage	module:output:0:vmUsage
100	686666.6875	0.011957	1352	280
100	686666.6875	0.011958	1352	280
10	866.6666870117188	0.053097	1320	128
10	866.6666870117188	0.010822	1320	128
10	866.6666870117188	0.011148	1320	128
2000	-385289728	6.739087	15196	15904
2000	-385289728	6.749499	15196	15904
2000	-385289728	6.754544	15196	15904
200	5413333.5	0.018861	1484	408
200	5413333.5	0.018012	1484	408
200	5413333.5	0.018693	1484	408
3000	-593524928	23.296093	34724	35456
3000	-593524928	23.293929	34724	35456
3000	-593524928	23.252119	34724	35456
300	18180000	0.035618	1684	608
300	18180000	0.035426	1684	608
300	18180000	0.036325	1684	608
4000	-251006288	55.472789	62040	62832
4000	-251006288	58.533886	62040	62832
4000	-251006288	58.577453	62040	62832
400	42986668	0.06718200000000001	1956	880
400	42986668	0.06739299999999999	1956	880
400	42986668	0.066937	1956	880
5000	347298944	112.054987	97188	98012
5000	347298944	108.370527	97188	98012
5000	347298944	109.958581	97188	98012
500	83833336	0.119632	2308	1236
500	83833336	0.119636	2308	1236
500	83833336	0.120548	2308	1236
50	88333.3359375	0.011069	1332	256
50	88333.3359375	0.011231	1332	256
50	88333.3359375	0.010811	1332	256
600	144720000	0.197289	2744	1668
600	144720000	0.197233	2744	1668
600	144720000	0.199085	2744	1668
700	229646672	0.305351	3252	2176
700	229646672	0.305097	3252	2176
700	229646672	0.305122	3252	2176
800	342613344	0.454337	3844	2764
800	342613344	0.448327	3844	2764
800	342613344	0.453636	3844	2764
900	487620000	0.635036	4504	3428
900	487620000	0.632289	4504	3428
900	487620000	0.644194	4504	3428
1000	668666688	0.860572	5256	4172
1000	668666688	0.860643	5256	4172
1000	668666688	0.8609560000000001	5256	4172
100	686666.6875	0.011592	1352	280
