module:pub_input::N	module:pub_input::ops	module:measure:PAPI:PAPI_FP_INS	module:measure:PAPI:PAPI_L2_DCM	module:measure:PAPI:PAPI_TOT_INS	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start
1000	668666688	675541136	6680325	6992182518	0.8478	1425451905.209	1425451904.361193
1000	668666688	675541411	6677593	6992182519	0.847898	1425452130.77371	1425452129.925804
2000	-385289728	5403690066	34389634	55634014591	6.727035	1425452138.900805	1425452132.173717
2000	-385289728	5403671293	34402110	55634014585	6.732047	1425452363.902797	1425452357.170698
200	5413333.5	5382853	5151	58652005	0.008041	1425451893.454616	1425451893.446568
200	5413333.5	5383284	3735	58652005	0.007776	1425452118.992322	1425452118.984539
200	5413333.5	5382815	3643	58652005	0.008007999999999999	1425452343.974796	1425452343.966781
3000	-593524928	18248175349	115643658	187425750608	23.260164	1425451938.446515	1425451915.186297
3000	-593524928	18248158280	115763642	187425750703	23.257996	1425452164.039791	1425452140.781742
3000	-593524928	18248023599	115525875	187425750863	23.216245	1425452388.991968	1425452365.775672
300	18180000	18157505	76815	193829051	0.02493	1425451894.586714	1425451894.561777
300	18180000	18159254	81791	193829051	0.024776	1425452120.132979	1425452120.108196
1000	668666688	675538704	6681707	6992182519	0.8481880000000001	1425452355.791788	1425452354.943593
300	18180000	18156123	67765	193829051	0.02534	1425452345.111157	1425452345.08581
4000	-251006288	43278214267	261186710	443867516211	55.418239	1425451996.595056	1425451941.176765
4000	-251006288	43283101097	340005834	443867519215	58.476281	1425452225.229171	1425452166.752836
4000	-251006288	43284417371	336190167	443867519334	58.519616	1425452450.220894	1425452391.701221
400	42986668	43081209	316369	455012792	0.056427	1425451895.757363	1425451895.700929
400	42986668	43081101	306500	455012793	0.056835	1425452121.30129	1425452121.244448
400	42986668	43082993	319553	455012792	0.056359	1425452346.281996	1425452346.22563
5000	347298944	84564873903	557529176	866459233726	111.973374	1425452112.370238	1425452000.39681
5000	347298944	84559622507	463745118	866459230333	108.292558	1425452337.391968	1425452229.099356
5000	347298944	84561964958	493875962	866459231460	109.87663	1425452563.939808	1425452454.063123
100	686666.6875	670775	2777	7970604	0.001411	1425451892.349747	1425451892.34833
500	83833336	84288995	731226	883732246	0.108583	1425451896.985777	1425451896.877187
500	83833336	84288028	730838	883732246	0.108616	1425452122.536743	1425452122.428121
500	83833336	84286247	736304	883732247	0.109561	1425452347.528132	1425452347.418564
50	88333.3359375	83122	2536	1340470	0.000567	1425451891.246169	1425451891.245595
50	88333.3359375	83066	2517	1340470	0.000605	1425452116.765713	1425452116.7651
50	88333.3359375	83091	2526	1340470	0.000554	1425452341.762342	1425452341.761781
600	144720000	145639535	1332419	1521421748	0.186153	1425451898.311045	1425451898.124885
600	144720000	145641708	1335537	1521421747	0.186132	1425452123.858942	1425452123.672803
600	144720000	145643516	1333148	1521421749	0.187685	1425452348.855272	1425452348.66758
700	229646672	231637883	2184369	2409589396	0.293804	1425451899.75054	1425451899.456724
100	686666.6875	670943	2707	7970604	0.001431	1425452117.867162	1425452117.865724
700	229646672	231639093	2178696	2409589395	0.293532	1425452125.307158	1425452125.013619
700	229646672	231634409	2178874	2409589395	0.293603	1425452350.298399	1425452350.004788
800	342613344	345624700	3113835	3589752104	0.442258	1425451901.35023	1425451900.907966
800	342613344	345622755	3108872	3589752097	0.436517	1425452126.90951	1425452126.472987
800	342613344	345625077	3119393	3589752104	0.441724	1425452351.902161	1425452351.46043
900	487620000	491946161	4668608	5103461677	0.622743	1425451903.153504	1425451902.530753
900	487620000	491950875	4671275	5103461675	0.6199249999999999	1425452128.719647	1425452128.099716
900	487620000	491953857	4674010	5103461688	0.6317120000000001	1425452353.720482	1425452353.088763
100	686666.6875	670714	2711	7970604	0.001455	1425452342.858019	1425452342.856557
10	866.6666870117188	658	3229	295624	0.006035	1425451890.121513	1425451890.115471
10	866.6666870117188	654	2543	295623	0.000428	1425452115.662567	1425452115.662132
10	866.6666870117188	645	2443	295623	0.00043	1425452340.651091	1425452340.650654
2000	-385289728	5403645920	34155129	55634014569	6.716848	1425451913.30998	1425451906.593081
