module:input:0:its	module:input:0:nx	module:input:1:MaxAbsDiff	module:input:1:MaxRelDiff	module:input:1:TotalAbsDiff	module:input:1:iter	module:input:1:numElem	module:input:1:numNode	module:input:1:phase	module:pub_input::its	module:pub_input::nx	module:measure:time:time	module:output:0:MaxAbsDiff	module:output:0:MaxRelDiff	module:output:0:TotalAbsDiff
100	15	0	0	0	0	3375	4096	0	100	15	3.317406	0.0078125	0.001371321035549045	0.03245861455798149
100	15	0	0	0	0	3375	4096	0	100	15	3.320153	0.0078125	0.001371321035549045	0.03245861455798149
100	15	0	0	0	0	3375	4096	0	100	15	3.307205	0.0078125	0.001371321035549045	0.03245861455798149
20	15	0	0	0	0	3375	4096	0	20	15	0.727077	0.01953125	4.711175643024035e-05	0.01972990110516548
20	15	0	0	0	0	3375	4096	0	20	15	0.665221	0.01953125	4.711175643024035e-05	0.01972990110516548
20	15	0	0	0	0	3375	4096	0	20	15	0.66699	0.01953125	4.711175643024035e-05	0.01972990110516548
200	15	0	0	0	0	3375	4096	0	200	15	3.336205	0.0078125	0.002270226133987308	0.03368514403700829
200	15	0	0	0	0	3375	4096	0	200	15	3.33896	0.0078125	0.002270226133987308	0.03368514403700829
200	15	0	0	0	0	3375	4096	0	200	15	3.352283	0.0078125	0.002270226133987308	0.03368514403700829
30	15	0	0	0	0	3375	4096	0	30	15	0.995959	0.01171875	0.01198113150894642	0.01174568571150303
30	15	0	0	0	0	3375	4096	0	30	15	0.997078	0.01171875	0.01198113150894642	0.01174568571150303
30	15	0	0	0	0	3375	4096	0	30	15	0.99802	0.01171875	0.01198113150894642	0.01174568571150303
300	15	0	0	0	0	3375	4096	0	300	15	3.337793	0.0078125	0.002270226133987308	0.03368514403700829
300	15	0	0	0	0	3375	4096	0	300	15	3.34205	0.0078125	0.002270226133987308	0.03368514403700829
300	15	0	0	0	0	3375	4096	0	300	15	3.344421	0.0078125	0.002270226133987308	0.03368514403700829
400	15	0	0	0	0	3375	4096	0	400	15	3.336869	0.0078125	0.002270226133987308	0.03368514403700829
400	15	0	0	0	0	3375	4096	0	400	15	3.341152	0.0078125	0.002270226133987308	0.03368514403700829
400	15	0	0	0	0	3375	4096	0	400	15	3.339823	0.0078125	0.002270226133987308	0.03368514403700829
50	15	0	0	0	0	3375	4096	0	50	15	1.667571	0.015625	0.0001317902351729572	0.0392179936170578
50	15	0	0	0	0	3375	4096	0	50	15	1.656756	0.015625	0.0001317902351729572	0.0392179936170578
50	15	0	0	0	0	3375	4096	0	50	15	1.658531	0.015625	0.0001317902351729572	0.0392179936170578
500	15	0	0	0	0	3375	4096	0	500	15	3.339034	0.0078125	0.002270226133987308	0.03368514403700829
500	15	0	0	0	0	3375	4096	0	500	15	3.341248	0.0078125	0.002270226133987308	0.03368514403700829
500	15	0	0	0	0	3375	4096	0	500	15	3.347485	0.0078125	0.002270226133987308	0.03368514403700829
600	15	0	0	0	0	3375	4096	0	600	15	3.34043	0.0078125	0.002270226133987308	0.03368514403700829
600	15	0	0	0	0	3375	4096	0	600	15	3.343282	0.0078125	0.002270226133987308	0.03368514403700829
600	15	0	0	0	0	3375	4096	0	600	15	3.340064	0.0078125	0.002270226133987308	0.03368514403700829
100	20	0	0	0	0	8000	9261	0	100	20	6.04215	0.013671875	0.002767992205917835	0.07353933900594711
100	20	0	0	0	0	8000	9261	0	100	20	6.042343	0.013671875	0.002767992205917835	0.07353933900594711
100	20	0	0	0	0	8000	9261	0	100	20	6.045912	0.013671875	0.002767992205917835	0.07353933900594711
20	20	0	0	0	0	8000	9261	0	20	20	1.220483	0.00299072265625	0.0007700459682382643	0.003479489823803306
20	20	0	0	0	0	8000	9261	0	20	20	1.213603	0.00299072265625	0.0007700459682382643	0.003479489823803306
20	20	0	0	0	0	8000	9261	0	20	20	1.21434	0.00299072265625	0.0007700459682382643	0.003479489823803306
200	20	0	0	0	0	8000	9261	0	200	20	9.782583000000001	0.009765625	2.172389395127539e-05	0.06366463750600815
200	20	0	0	0	0	8000	9261	0	200	20	9.788505000000001	0.009765625	2.172389395127539e-05	0.06366463750600815
200	20	0	0	0	0	8000	9261	0	200	20	9.792771999999999	0.009765625	2.172389395127539e-05	0.06366463750600815
30	20	0	0	0	0	8000	9261	0	30	20	1.817621	0.015625	4.058805643580854e-05	0.02052950486540794
30	20	0	0	0	0	8000	9261	0	30	20	1.818986	0.015625	4.058805643580854e-05	0.02052950486540794
30	20	0	0	0	0	8000	9261	0	30	20	1.818426	0.015625	4.058805643580854e-05	0.02052950486540794
300	20	0	0	0	0	8000	9261	0	300	20	9.782092	0.009765625	2.172389395127539e-05	0.06366463750600815
