module:pub_input::iter	module:pub_input::its	module:pub_input::numElem	module:pub_input::numNode	module:pub_input::nx	module:pub_input::phase	module:measure:time:time
0	100	3375	4096	15	0	0.043456
0	100	3375	4096	15	0	0.04366
0	100	3375	4096	15	0	0.043622
0	20	3375	4096	15	0	0.079183
0	20	3375	4096	15	0	0.043138
0	20	3375	4096	15	0	0.043825
0	200	3375	4096	15	0	0.043163
0	200	3375	4096	15	0	0.043255
0	200	3375	4096	15	0	0.043729
0	30	3375	4096	15	0	0.043087
0	30	3375	4096	15	0	0.043602
0	30	3375	4096	15	0	0.043894
0	300	3375	4096	15	0	0.043259
0	300	3375	4096	15	0	0.043111
0	300	3375	4096	15	0	0.043356
0	400	3375	4096	15	0	0.043271
0	400	3375	4096	15	0	0.043915
0	400	3375	4096	15	0	0.043226
0	50	3375	4096	15	0	0.043664
0	50	3375	4096	15	0	0.043144
0	50	3375	4096	15	0	0.043815
0	500	3375	4096	15	0	0.043471
0	500	3375	4096	15	0	0.043586
0	500	3375	4096	15	0	0.043604
0	600	3375	4096	15	0	0.043193
0	600	3375	4096	15	0	0.043647
0	600	3375	4096	15	0	0.04325
0	100	8000	9261	20	0	0.070755
0	100	8000	9261	20	0	0.07113800000000001
0	100	8000	9261	20	0	0.071228
0	20	8000	9261	20	0	0.07065100000000001
0	20	8000	9261	20	0	0.070822
0	20	8000	9261	20	0	0.070771
0	200	8000	9261	20	0	0.07060900000000001
0	200	8000	9261	20	0	0.070949
0	200	8000	9261	20	0	0.07090100000000001
0	30	8000	9261	20	0	0.070946
0	30	8000	9261	20	0	0.070866
0	30	8000	9261	20	0	0.07116
0	300	8000	9261	20	0	0.07074800000000001
0	300	8000	9261	20	0	0.071267
0	300	8000	9261	20	0	0.070699
0	400	8000	9261	20	0	0.070966
0	400	8000	9261	20	0	0.07136000000000001
0	400	8000	9261	20	0	0.071045
0	50	8000	9261	20	0	0.07290000000000001
0	50	8000	9261	20	0	0.0708
0	50	8000	9261	20	0	0.071176
0	500	8000	9261	20	0	0.070919
0	500	8000	9261	20	0	0.070703
0	500	8000	9261	20	0	0.071216
0	600	8000	9261	20	0	0.07087599999999999
0	600	8000	9261	20	0	0.070703
0	600	8000	9261	20	0	0.070816
0	100	10648	12167	22	0	0.083247
0	100	10648	12167	22	0	0.083492
0	100	10648	12167	22	0	0.082958
0	20	10648	12167	22	0	0.083478
0	20	10648	12167	22	0	0.082634
0	20	10648	12167	22	0	0.083422
0	200	10648	12167	22	0	0.08311
0	200	10648	12167	22	0	0.083685
0	200	10648	12167	22	0	0.08329400000000001
0	30	10648	12167	22	0	0.085188
0	30	10648	12167	22	0	0.084374
0	30	10648	12167	22	0	0.08330799999999999
