module:pub_input::iter	module:pub_input::its	module:pub_input::numElem	module:pub_input::numNode	module:pub_input::nx	module:pub_input::phase	module:measure:PAPI:PAPI_BR_CN	module:measure:PAPI:PAPI_FP_OPS	module:measure:PAPI:PAPI_TOT_INS	module:measure:time:time
0	100	3375	4096	15	0	97160	2	997993	0.033472
0	100	3375	4096	15	0	99014	2	1009358	0.033378
0	100	3375	4096	15	0	97190	2	998944	0.033397
0	20	3375	4096	15	0	98152	3	1002689	0.037129
0	20	3375	4096	15	0	97337	2	999791	0.033248
0	20	3375	4096	15	0	97279	2	1000144	0.033576
0	200	3375	4096	15	0	98986	3	1006988	0.033204
0	200	3375	4096	15	0	97190	2	998945	0.033259
0	200	3375	4096	15	0	98575	2	1005378	0.033424
0	30	3375	4096	15	0	97387	3	1000579	0.033178
0	30	3375	4096	15	0	98215	3	1002157	0.033284
0	30	3375	4096	15	0	97351	3	998166	0.03359
0	300	3375	4096	15	0	97916	2	1001849	0.033225
0	300	3375	4096	15	0	96776	3	994669	0.033213
0	300	3375	4096	15	0	99997	3	1013159	0.033297
0	400	3375	4096	15	0	97453	2	999787	0.033232
0	400	3375	4096	15	0	97045	3	996030	0.033584
0	400	3375	4096	15	0	98561	3	1005299	0.033262
0	50	3375	4096	15	0	98171	2	1002726	0.033425
0	50	3375	4096	15	0	96680	3	996106	0.033221
0	50	3375	4096	15	0	97490	3	998814	0.033443
0	500	3375	4096	15	0	96664	3	996211	0.033334
0	500	3375	4096	15	0	96172	3	990746	0.033387
0	500	3375	4096	15	0	95744	3	989752	0.033378
0	600	3375	4096	15	0	96672	3	996300	0.033261
0	600	3375	4096	15	0	97177	2	998144	0.0334
0	600	3375	4096	15	0	96759	3	994519	0.033261
0	100	8000	9261	20	0	97143	3	998687	0.06084
0	100	8000	9261	20	0	97498	3	1000818	0.060999
0	100	8000	9261	20	0	97444	3	1000287	0.061055
0	20	8000	9261	20	0	99569	3	1011583	0.060813
0	20	8000	9261	20	0	99542	3	1011391	0.06083
0	20	8000	9261	20	0	99551	3	1011494	0.060821
0	200	8000	9261	20	0	97673	3	1000935	0.060775
0	200	8000	9261	20	0	97444	3	1000287	0.060829
0	200	8000	9261	20	0	97594	3	1000587	0.060901
0	30	8000	9261	20	0	98055	3	1003416	0.060854
0	30	8000	9261	20	0	99720	3	1013067	0.060825
0	30	8000	9261	20	0	98338	3	1003844	0.061006
0	300	8000	9261	20	0	99487	3	1011365	0.060813
0	300	8000	9261	20	0	97488	3	1000817	0.061027
0	300	8000	9261	20	0	96897	3	997337	0.060789
0	400	8000	9261	20	0	97506	3	1000907	0.060809
0	400	8000	9261	20	0	97506	3	1000906	0.061047
0	400	8000	9261	20	0	100211	3	1014127	0.06088
0	50	8000	9261	20	0	99379	3	1010436	0.062782
0	50	8000	9261	20	0	99747	3	1013261	0.060868
0	50	8000	9261	20	0	97134	3	999260	0.061263
0	500	8000	9261	20	0	96879	3	997248	0.06078
0	500	8000	9261	20	0	98079	3	1002596	0.060791
0	500	8000	9261	20	0	96995	3	997793	0.061002
0	600	8000	9261	20	0	98131	3	1004017	0.06078
0	600	8000	9261	20	0	97489	3	1000755	0.060748
0	600	8000	9261	20	0	97208	3	999687	0.06088
0	100	10648	12167	22	0	97944	4	999432	0.073019
0	100	10648	12167	22	0	97909	4	999163	0.073256
0	100	10648	12167	22	0	98031	4	999673	0.072939
0	20	10648	12167	22	0	97845	2	998645	0.07323300000000001
0	20	10648	12167	22	0	97830	4	998609	0.072892
0	20	10648	12167	22	0	97816	3	998495	0.07328999999999999
0	200	10648	12167	22	0	97827	4	998647	0.07301199999999999
0	200	10648	12167	22	0	97882	4	998920	0.073465
0	200	10648	12167	22	0	97926	4	998887	0.07304099999999999
0	30	10648	12167	22	0	97879	4	998914	0.075139
0	30	10648	12167	22	0	97840	3	998715	0.074236
0	30	10648	12167	22	0	97813	3	998362	0.07313
0	300	10648	12167	22	0	97954	3	999566	0.073194
0	300	10648	12167	22	0	97897	4	999104	0.073043
0	300	10648	12167	22	0	97998	4	999487	0.073245
0	400	10648	12167	22	0	97845	4	998736	0.072882
0	400	10648	12167	22	0	97944	4	999431	0.07303
0	400	10648	12167	22	0	97940	3	999300	0.073035
0	50	10648	12167	22	0	97921	4	999258	0.07525900000000001
0	50	10648	12167	22	0	97200	4	995627	0.073033
0	50	10648	12167	22	0	97822	4	998608	0.073213
0	500	10648	12167	22	0	98050	4	999829	0.073239
0	500	10648	12167	22	0	97865	4	998817	0.073034
0	500	10648	12167	22	0	97865	4	998882	0.07308199999999999
0	600	10648	12167	22	0	97476	4	997311	0.072905
0	600	10648	12167	22	0	97951	4	999475	0.072946
0	600	10648	12167	22	0	97924	4	999236	0.074253
0	100	15625	17576	25	0	98451	3	1001292	0.104947
0	100	15625	17576	25	0	98463	3	1001416	0.105365
0	100	15625	17576	25	0	98480	3	1001566	0.105082
0	20	15625	17576	25	0	98349	3	1000669	0.105318
0	20	15625	17576	25	0	98341	3	1000639	0.105138
0	20	15625	17576	25	0	98367	3	1000758	0.105031
0	200	15625	17576	25	0	98263	3	999993	0.105013
0	200	15625	17576	25	0	98349	3	1000692	0.10513
0	200	15625	17576	25	0	98481	3	1001505	0.105095
0	30	15625	17576	25	0	98296	3	1000297	0.105139
0	30	15625	17576	25	0	98290	3	1000270	0.104941
0	30	15625	17576	25	0	98367	3	1000758	0.105063
0	300	15625	17576	25	0	98368	3	1000751	0.105012
0	300	15625	17576	25	0	98415	3	1001166	0.105278
0	300	15625	17576	25	0	98365	3	1000774	0.10519
0	400	15625	17576	25	0	98462	4	1001478	0.105079
0	400	15625	17576	25	0	98433	3	1001255	0.104942
0	400	15625	17576	25	0	98481	3	1001504	0.105053
0	50	15625	17576	25	0	98256	3	999895	0.104892
0	50	15625	17576	25	0	98277	3	1000269	0.105122
0	50	15625	17576	25	0	98351	3	1000629	0.105085
0	500	15625	17576	25	0	98460	3	1001392	0.105163
0	500	15625	17576	25	0	98365	3	1000666	0.104969
0	500	15625	17576	25	0	98410	3	1000982	0.105081
0	600	15625	17576	25	0	98477	3	1001543	0.10503
0	600	15625	17576	25	0	98473	3	1001409	0.105091
0	600	15625	17576	25	0	98449	3	1001333	0.10499
0	100	21952	24389	28	0	98627	4	1001962	0.137028
0	100	21952	24389	28	0	98582	3	1001532	0.13725
0	100	21952	24389	28	0	98675	4	1002272	0.137218
0	20	21952	24389	28	0	98572	3	1001507	0.137028
0	20	21952	24389	28	0	98568	4	1001512	0.137129
0	20	21952	24389	28	0	98590	4	1001547	0.141417
0	200	21952	24389	28	0	98446	4	1001008	0.137099
0	200	21952	24389	28	0	98716	4	1002546	0.137298
0	200	21952	24389	28	0	98630	4	1001901	0.137028
0	30	21952	24389	28	0	98473	4	1000751	0.136942
0	30	21952	24389	28	0	98616	3	1001871	0.137174
0	30	21952	24389	28	0	98489	4	1000952	0.137465
0	300	21952	24389	28	0	97882	4	998508	0.137296
0	300	21952	24389	28	0	98627	3	1001785	0.13717
0	300	21952	24389	28	0	98594	3	1001661	0.137098
0	400	21952	24389	28	0	98611	4	1001865	0.13717
0	400	21952	24389	28	0	98551	3	1001443	0.137201
0	400	21952	24389	28	0	98600	4	1001772	0.137166
0	50	21952	24389	28	0	98502	4	1001022	0.137029
0	50	21952	24389	28	0	98603	4	1001528	0.137017
0	50	21952	24389	28	0	98568	4	1001523	0.137228
0	500	21952	24389	28	0	98628	4	1001975	0.137274
0	500	21952	24389	28	0	98628	3	1001900	0.137222
0	500	21952	24389	28	0	98621	4	1001835	0.137142
0	600	21952	24389	28	0	98598	4	1001781	0.137282
0	600	21952	24389	28	0	98688	4	1002354	0.13723
0	600	21952	24389	28	0	98556	4	1001387	0.137167
0	100	27000	29791	30	0	97566	3	999505	0.16075
0	100	27000	29791	30	0	96998	3	995921	0.16078
0	100	27000	29791	30	0	95874	3	989406	0.16059
0	20	27000	29791	30	0	98253	2	1003158	0.160762
0	20	27000	29791	30	0	98883	3	1006745	0.160895
0	20	27000	29791	30	0	95907	3	989304	0.160808
0	200	27000	29791	30	0	97017	3	995944	0.161151
0	200	27000	29791	30	0	97828	3	1002126	0.160833
0	200	27000	29791	30	0	100521	3	1016035	0.160682
0	30	27000	29791	30	0	96810	3	996862	0.160544
0	30	27000	29791	30	0	96810	3	996862	0.160824
0	30	27000	29791	30	0	99999	3	1012663	0.160915
0	300	27000	29791	30	0	97848	3	1002156	0.160683
0	300	27000	29791	30	0	100712	3	1017313	0.160699
0	300	27000	29791	30	0	96998	3	995921	0.160593
0	400	27000	29791	30	0	97829	3	1002129	0.161095
0	400	27000	29791	30	0	100818	3	1017365	0.160691
0	400	27000	29791	30	0	97849	3	1002157	0.160696
0	50	27000	29791	30	0	96878	3	995041	0.160545
0	50	27000	29791	30	0	98389	3	1004834	0.160784
0	50	27000	29791	30	0	97033	3	995959	0.160745
0	500	27000	29791	30	0	97146	3	996285	0.160914
0	500	27000	29791	30	0	96998	3	995920	0.160879
0	500	27000	29791	30	0	97829	3	1002128	0.160624
0	600	27000	29791	30	0	97830	3	1002066	0.160638
0	600	27000	29791	30	0	96093	3	990822	0.161072
0	600	27000	29791	30	0	97257	4	997850	0.160939
0	100	42875	46656	35	0	97278	4	997413	0.234263
0	100	42875	46656	35	0	97260	4	997323	0.234188
0	100	42875	46656	35	0	97259	4	997386	0.235053
0	20	42875	46656	35	0	97209	4	999059	0.2341
0	20	42875	46656	35	0	96900	4	997293	0.234558
0	20	42875	46656	35	0	97768	4	1000199	0.239969
0	200	42875	46656	35	0	97278	4	997477	0.234483
0	200	42875	46656	35	0	97259	4	997386	0.234482
0	200	42875	46656	35	0	97259	3	997385	0.234072
0	30	42875	46656	35	0	96891	4	997189	0.234097
0	30	42875	46656	35	0	97768	4	1000199	0.23442
0	30	42875	46656	35	0	97786	3	1000288	0.235193
0	300	42875	46656	35	0	96249	4	991862	0.241632
0	300	42875	46656	35	0	97279	4	997414	0.234859
0	300	42875	46656	35	0	96231	4	991774	0.234125
0	400	42875	46656	35	0	97280	3	997416	0.2351
0	400	42875	46656	35	0	97278	4	997476	0.234547
0	400	42875	46656	35	0	97260	4	997323	0.234246
0	50	42875	46656	35	0	96919	4	997384	0.234306
0	50	42875	46656	35	0	97769	4	1000201	0.23451
0	50	42875	46656	35	0	97768	4	1000199	0.234421
0	500	42875	46656	35	0	96241	4	991767	0.234557
0	500	42875	46656	35	0	96250	4	991865	0.234287
0	500	42875	46656	35	0	96231	4	991774	0.234394
0	600	42875	46656	35	0	97278	4	997412	0.234691
