module:pub_input::iter	module:pub_input::its	module:pub_input::numElem	module:pub_input::numNode	module:pub_input::nx	module:pub_input::phase	module:measure:PAPI:PAPI_BR_CN	module:measure:PAPI:PAPI_FP_OPS	module:measure:PAPI:PAPI_TOT_INS	module:measure:time:time
0	100	3375	4096	15	0	21052	0	114618	0.011098
0	100	3375	4096	15	0	21520	0	116060	0.010852
0	100	3375	4096	15	0	23616	0	126931	0.010866
0	20	3375	4096	15	0	19901	1	107996	0.011548
0	20	3375	4096	15	0	22276	0	119010	0.010816
0	20	3375	4096	15	0	22572	0	120298	0.010972
0	200	3375	4096	15	0	20543	1	109928	0.010831
0	200	3375	4096	15	0	23636	0	127031	0.010852
0	200	3375	4096	15	0	20882	0	112934	0.010845
0	30	3375	4096	15	0	21890	1	118392	0.010815
0	30	3375	4096	15	0	20888	1	113551	0.010842
0	30	3375	4096	15	0	20999	1	114297	0.010882
0	300	3375	4096	15	0	21902	0	118945	0.010852
0	300	3375	4096	15	0	20724	1	112690	0.010823
0	300	3375	4096	15	0	20786	1	113159	0.010851
0	400	3375	4096	15	0	19789	0	106661	0.010826
0	400	3375	4096	15	0	20815	0	113199	0.010892
0	400	3375	4096	15	0	21338	0	115823	0.01084
0	50	3375	4096	15	0	20904	0	113477	0.010793
0	50	3375	4096	15	0	20979	0	113099	0.010844
0	50	3375	4096	15	0	21194	0	116243	0.010838
0	500	3375	4096	15	0	20988	0	113157	0.01082
0	500	3375	4096	15	0	19462	0	105104	0.010843
0	500	3375	4096	15	0	20648	0	112264	0.010892
0	600	3375	4096	15	0	20988	0	113158	0.010832
0	600	3375	4096	15	0	21147	1	115338	0.010846
0	600	3375	4096	15	0	20733	0	112795	0.010852
0	100	8000	9261	20	0	24340	1	131711	0.011042
0	100	8000	9261	20	0	24493	1	132199	0.01107
0	100	8000	9261	20	0	24460	1	132372	0.011106
0	20	8000	9261	20	0	22516	1	119889	0.011023
0	20	8000	9261	20	0	22534	1	119978	0.01102
0	20	8000	9261	20	0	22544	1	120076	0.011041
0	200	8000	9261	20	0	22018	0	119393	0.01103
0	200	8000	9261	20	0	24460	1	132372	0.011075
0	200	8000	9261	20	0	21746	1	117732	0.011075
0	30	8000	9261	20	0	24577	0	132292	0.01105
0	30	8000	9261	20	0	22444	0	119856	0.01106
0	30	8000	9261	20	0	22244	1	119867	0.011051
0	300	8000	9261	20	0	21923	0	117800	0.011053
0	300	8000	9261	20	0	24485	1	132100	0.011088
0	300	8000	9261	20	0	24376	0	131950	0.011064
0	400	8000	9261	20	0	24485	1	132101	0.011045
0	400	8000	9261	20	0	24485	1	132101	0.011106
0	400	8000	9261	20	0	22362	0	119941	0.011052
0	50	8000	9261	20	0	21915	0	117780	0.011362
0	50	8000	9261	20	0	22426	0	119767	0.011045
0	50	8000	9261	20	0	24383	0	131530	0.011073
0	500	8000	9261	20	0	24356	0	131849	0.011039
0	500	8000	9261	20	0	22523	0	120802	0.011066
0	500	8000	9261	20	0	24628	0	132383	0.011133
0	600	8000	9261	20	0	24404	0	132077	0.011042
0	600	8000	9261	20	0	24485	0	132100	0.011057
0	600	8000	9261	20	0	24689	0	133812	0.011087
0	100	10648	12167	22	0	21928	2	115619	0.011186
0	100	10648	12167	22	0	21957	2	115566	0.01139
0	100	10648	12167	22	0	21960	2	115553	0.011175
0	20	10648	12167	22	0	21880	2	114981	0.011175
0	20	10648	12167	22	0	21682	2	114210	0.011196
0	20	10648	12167	22	0	21901	2	115269	0.011206
0	200	10648	12167	22	0	21683	2	113926	0.011171
0	200	10648	12167	22	0	21648	2	113756	0.011432
0	200	10648	12167	22	0	19860	2	104857	0.011154
0	30	10648	12167	22	0	22180	2	117533	0.011513
0	30	10648	12167	22	0	21623	2	113325	0.011159
0	30	10648	12167	22	0	21951	0	115585	0.011178
0	300	10648	12167	22	0	21738	0	114781	0.011173
0	300	10648	12167	22	0	21958	2	115649	0.011214
0	300	10648	12167	22	0	22266	2	118145	0.011212
0	400	10648	12167	22	0	21665	2	113837	0.011155
0	400	10648	12167	22	0	21943	2	115638	0.011217
0	400	10648	12167	22	0	21939	2	115372	0.01121
0	50	10648	12167	22	0	20609	2	109569	0.011511
0	50	10648	12167	22	0	22144	2	117059	0.011188
0	50	10648	12167	22	0	21736	0	114386	0.011168
0	500	10648	12167	22	0	22366	2	118895	0.011259
0	500	10648	12167	22	0	21918	0	115656	0.011186
0	500	10648	12167	22	0	21921	2	115728	0.011205
0	600	10648	12167	22	0	21711	1	114613	0.011159
0	600	10648	12167	22	0	21937	1	115399	0.011193
0	600	10648	12167	22	0	21675	0	113703	0.01162
0	100	15625	17576	25	0	23080	0	121310	0.01141
0	100	15625	17576	25	0	22562	0	117606	0.011426
0	100	15625	17576	25	0	22544	1	117517	0.011455
0	20	15625	17576	25	0	22573	0	117838	0.011665
0	20	15625	17576	25	0	22601	0	118006	0.011435
0	20	15625	17576	25	0	22593	0	117941	0.011427
0	200	15625	17576	25	0	20821	0	109263	0.011455
0	200	15625	17576	25	0	22576	1	117832	0.011422
0	200	15625	17576	25	0	22594	0	117899	0.011458
0	30	15625	17576	25	0	22555	0	117830	0.011396
