module:pub_input::iter	module:pub_input::its	module:pub_input::numElem	module:pub_input::numNode	module:pub_input::nx	module:pub_input::phase	module:measure:PAPI:PAPI_BR_CN	module:measure:PAPI:PAPI_FP_OPS	module:measure:PAPI:PAPI_TOT_INS	module:measure:time:time
0	100	3375	4096	15	0	1147873	1751607	31538633	0.011896
0	100	3375	4096	15	0	1147874	1751208	31538635	0.011947
0	100	3375	4096	15	0	1147855	1751213	31538539	0.011918
0	20	3375	4096	15	0	1148259	1749481	31539976	0.012684
0	20	3375	4096	15	0	1147821	1751085	31538195	0.011929
0	20	3375	4096	15	0	1148077	1751820	31537859	0.011978
0	200	3375	4096	15	0	1148157	1751072	31538706	0.011901
0	200	3375	4096	15	0	1147874	1750934	31538634	0.011916
0	200	3375	4096	15	0	1147893	1750852	31538729	0.011937
0	30	3375	4096	15	0	1148281	1749790	31540052	0.011898
0	30	3375	4096	15	0	1148163	1750170	31538250	0.011912
0	30	3375	4096	15	0	1148213	1750178	31538795	0.011976
0	300	3375	4096	15	0	1148120	1750682	31538517	0.011903
0	300	3375	4096	15	0	1148285	1750547	31539273	0.011927
0	300	3375	4096	15	0	1148268	1750100	31540155	0.011912
0	400	3375	4096	15	0	1147874	1751659	31538634	0.01191
0	400	3375	4096	15	0	1148298	1749932	31540242	0.01192
0	400	3375	4096	15	0	1148280	1749389	31539308	0.01192
0	50	3375	4096	15	0	1147800	1750961	31538094	0.011924
0	50	3375	4096	15	0	1148232	1749705	31538842	0.011913
0	50	3375	4096	15	0	1148223	1750052	31539765	0.011925
0	500	3375	4096	15	0	1148304	1750250	31539368	0.011932
0	500	3375	4096	15	0	1148284	1749938	31540243	0.011919
0	500	3375	4096	15	0	1148285	1751008	31539273	0.011935
0	600	3375	4096	15	0	1148177	1749919	31538502	0.011937
0	600	3375	4096	15	0	1147874	1751084	31538635	0.011908
0	600	3375	4096	15	0	1148306	1750324	31539373	0.01192
0	100	8000	9261	20	0	3164010	5236403	91217598	0.027913
0	100	8000	9261	20	0	3164028	5236830	91217687	0.02793
0	100	8000	9261	20	0	3164027	5236479	91217681	0.027948
0	20	8000	9261	20	0	3163983	5238473	91217281	0.027905
0	20	8000	9261	20	0	3163954	5238293	91217089	0.027904
0	20	8000	9261	20	0	3163945	5237127	91217094	0.02791
0	200	8000	9261	20	0	3164018	5237498	91217694	0.027921
0	200	8000	9261	20	0	3164019	5236467	91217583	0.027917
0	200	8000	9261	20	0	3164001	5236615	91217490	0.027936
0	30	8000	9261	20	0	3163981	5235882	91217272	0.027891
0	30	8000	9261	20	0	3163945	5237635	91217093	0.027876
0	30	8000	9261	20	0	3163963	5236789	91217183	0.027933
0	300	8000	9261	20	0	3164046	5236790	91217776	0.027917
0	300	8000	9261	20	0	3163991	5237379	91217503	0.027929
0	300	8000	9261	20	0	3164029	5236580	91217690	0.02791
0	400	8000	9261	20	0	3164027	5237006	91217686	0.027884
0	400	8000	9261	20	0	3164008	5237271	91217590	0.027946
0	400	8000	9261	20	0	3164017	5237152	91217686	0.027905
0	50	8000	9261	20	0	3163977	5237545	91217298	0.028798
0	50	8000	9261	20	0	3163995	5236892	91217386	0.027915
0	50	8000	9261	20	0	3163962	5237252	91217180	0.027928
0	500	8000	9261	20	0	3164000	5237678	91217489	0.02792
0	500	8000	9261	20	0	3164000	5237916	91217488	0.027913
0	500	8000	9261	20	0	3164028	5236987	91217684	0.027925
0	600	8000	9261	20	0	3164027	5237228	91217682	0.027912
0	600	8000	9261	20	0	3164007	5237345	91217588	0.027915
0	600	8000	9261	20	0	3164010	5236363	91217596	0.027967
0	100	10648	12167	22	0	3520902	5736466	101517295	0.03349
0	100	10648	12167	22	0	3520931	5733491	101517496	0.033455
0	100	10648	12167	22	0	3520911	5736383	101517398	0.03346
0	20	10648	12167	22	0	3520846	5737880	101516845	0.033434
0	20	10648	12167	22	0	3520970	5724421	101517343	0.033455
0	20	10648	12167	22	0	3520848	5735289	101516856	0.033451
0	200	10648	12167	22	0	3520986	5725610	101517836	0.033492
0	200	10648	12167	22	0	3520995	5724154	101517824	0.033693
0	200	10648	12167	22	0	3520997	5724026	101517830	0.033472
0	30	10648	12167	22	0	3520972	5724706	101517348	0.034508
0	30	10648	12167	22	0	3520958	5725262	101517463	0.034038
0	30	10648	12167	22	0	3520835	5735359	101516852	0.033469
0	300	10648	12167	22	0	3521027	5724285	101517798	0.033465
0	300	10648	12167	22	0	3520930	5735190	101517494	0.03349
0	300	10648	12167	22	0	3521035	5723951	101517895	0.033486
0	400	10648	12167	22	0	3520994	5725202	101517819	0.033455
0	400	10648	12167	22	0	3520922	5736582	101517395	0.033466
0	400	10648	12167	22	0	3520948	5734931	101517583	0.033457
0	50	10648	12167	22	0	3520873	5736124	101517040	0.03453
0	50	10648	12167	22	0	3520938	5724949	101517370	0.03348
0	50	10648	12167	22	0	3520911	5723901	101517202	0.033476
0	500	10648	12167	22	0	3521064	5725245	101517982	0.033501
0	500	10648	12167	22	0	3520913	5735512	101517407	0.033462
0	500	10648	12167	22	0	3520912	5734811	101517401	0.03349
0	600	10648	12167	22	0	3521044	5725358	101517889	0.033449
0	600	10648	12167	22	0	3520910	5734818	101517396	0.033487
0	600	10648	12167	22	0	3521004	5724000	101517928	0.034294
0	100	15625	17576	25	0	6200436	10332968	181013555	0.052999
0	100	15625	17576	25	0	6200426	10333388	181013565	0.053335
0	100	15625	17576	25	0	6200400	10334711	181013377	0.052994
0	20	15625	17576	25	0	6200333	10333532	181012863	0.053062
0	20	15625	17576	25	0	6200390	10333187	181013145	0.053247
0	20	15625	17576	25	0	6200380	10335442	181013148	0.053042
0	200	15625	17576	25	0	6200437	10332740	181013557	0.052999
0	200	15625	17576	25	0	6200381	10334664	181013287	0.053028
0	200	15625	17576	25	0	6200399	10334763	181013377	0.053073
0	30	15625	17576	25	0	6200380	10333978	181013149	0.053028
0	30	15625	17576	25	0	6200353	10333884	181012965	0.053006
0	30	15625	17576	25	0	6200362	10334033	181013059	0.053033
0	300	15625	17576	25	0	6200436	10333843	181013556	0.052985
0	300	15625	17576	25	0	6200399	10333620	181013376	0.053269
0	300	15625	17576	25	0	6200393	10332980	181013281	0.05305
0	400	15625	17576	25	0	6200410	10334248	181013365	0.053038
0	400	15625	17576	25	0	6200400	10333339	181013378	0.053008
0	400	15625	17576	25	0	6200400	10333784	181013378	0.053034
0	50	15625	17576	25	0	6200353	10335061	181012965	0.053036
0	50	15625	17576	25	0	6200353	10334078	181012965	0.053016
0	50	15625	17576	25	0	6200371	10334260	181013054	0.053034
0	500	15625	17576	25	0	6200382	10332848	181013289	0.053067
0	500	15625	17576	25	0	6200391	10334180	181013270	0.05302
0	500	15625	17576	25	0	6200400	10332908	181013378	0.052994
0	600	15625	17576	25	0	6200400	10335596	181013378	0.053015
0	600	15625	17576	25	0	6200400	10333775	181013378	0.053084
0	600	15625	17576	25	0	6200410	10335135	181013365	0.053039
0	100	21952	24389	28	0	7680368	12827847	224392147	0.069254
0	100	21952	24389	28	0	7680384	12826185	224392232	0.06931900000000001
0	100	21952	24389	28	0	7680367	12824812	224392145	0.06926599999999999
0	20	21952	24389	28	0	7680343	12826521	224391840	0.069285
0	20	21952	24389	28	0	7680378	12824524	224392016	0.069268
0	20	21952	24389	28	0	7680341	12824728	224391836	0.071454
0	200	21952	24389	28	0	7680377	12826428	224392132	0.069231
0	200	21952	24389	28	0	7680365	12825467	224392142	0.06942
0	200	21952	24389	28	0	7680458	12825232	224392585	0.06926499999999999
0	30	21952	24389	28	0	7680396	12825604	224392104	0.06926599999999999
0	30	21952	24389	28	0	7680407	12825210	224392158	0.069268
0	30	21952	24389	28	0	7680378	12826780	224392018	0.069559
0	300	21952	24389	28	0	7680385	12825101	224392235	0.06934800000000001
