module:pub_input::iter	module:pub_input::its	module:pub_input::numElem	module:pub_input::numNode	module:pub_input::nx	module:pub_input::phase	module:measure:time:time
0	100	3375	4096	15	0	0.004768
0	100	3375	4096	15	0	0.004802
0	100	3375	4096	15	0	0.004767
0	20	3375	4096	15	0	0.005073
0	20	3375	4096	15	0	0.004794
0	20	3375	4096	15	0	0.0048
0	200	3375	4096	15	0	0.004769
0	200	3375	4096	15	0	0.004765
0	200	3375	4096	15	0	0.004769
0	30	3375	4096	15	0	0.004762
0	30	3375	4096	15	0	0.004762
0	30	3375	4096	15	0	0.004797
0	300	3375	4096	15	0	0.004759
0	300	3375	4096	15	0	0.004779
0	300	3375	4096	15	0	0.004778
0	400	3375	4096	15	0	0.004776
0	400	3375	4096	15	0	0.00477
0	400	3375	4096	15	0	0.004787
0	50	3375	4096	15	0	0.004792
0	50	3375	4096	15	0	0.004767
0	50	3375	4096	15	0	0.004765
0	500	3375	4096	15	0	0.004795
0	500	3375	4096	15	0	0.004782
0	500	3375	4096	15	0	0.004789
0	600	3375	4096	15	0	0.004782
0	600	3375	4096	15	0	0.004771
0	600	3375	4096	15	0	0.004774
0	100	8000	9261	20	0	0.013742
0	100	8000	9261	20	0	0.013749
0	100	8000	9261	20	0	0.013748
0	20	8000	9261	20	0	0.013738
0	20	8000	9261	20	0	0.013748
0	20	8000	9261	20	0	0.013749
0	200	8000	9261	20	0	0.013749
0	200	8000	9261	20	0	0.01373
0	200	8000	9261	20	0	0.01375
0	30	8000	9261	20	0	0.013739
0	30	8000	9261	20	0	0.013733
0	30	8000	9261	20	0	0.013742
0	300	8000	9261	20	0	0.013737
0	300	8000	9261	20	0	0.013759
0	300	8000	9261	20	0	0.013756
0	400	8000	9261	20	0	0.013738
0	400	8000	9261	20	0	0.013768
0	400	8000	9261	20	0	0.013732
0	50	8000	9261	20	0	0.014175
0	50	8000	9261	20	0	0.013736
0	50	8000	9261	20	0	0.013755
0	500	8000	9261	20	0	0.013746
0	500	8000	9261	20	0	0.013745
0	500	8000	9261	20	0	0.013751
0	600	8000	9261	20	0	0.013744
0	600	8000	9261	20	0	0.013753
0	600	8000	9261	20	0	0.013801
0	100	10648	12167	22	0	0.015342
0	100	10648	12167	22	0	0.015318
0	100	10648	12167	22	0	0.015325
0	20	10648	12167	22	0	0.015322
0	20	10648	12167	22	0	0.015318
0	20	10648	12167	22	0	0.015327
0	200	10648	12167	22	0	0.015332
0	200	10648	12167	22	0	0.015353
0	200	10648	12167	22	0	0.015328
0	30	10648	12167	22	0	0.015808
0	30	10648	12167	22	0	0.015475
0	30	10648	12167	22	0	0.015327
0	300	10648	12167	22	0	0.015323
0	300	10648	12167	22	0	0.015327
