module:pub_input::iter	module:pub_input::its	module:pub_input::numElem	module:pub_input::numNode	module:pub_input::nx	module:pub_input::phase	module:measure:PAPI:PAPI_BR_CN	module:measure:PAPI:PAPI_FP_OPS	module:measure:PAPI:PAPI_TOT_INS	module:measure:time:time
0	100	27000	29791	30	0	691197	17630260	131073915	0.020737
0	100	27000	29791	30	0	691147	17629110	131073911	0.020759
0	20	27000	29791	30	0	691197	17626742	131073915	0.020747
0	20	27000	29791	30	0	691147	17627885	131073912	0.020734
0	20	27000	29791	30	0	691147	17628741	131073910	0.02075
0	200	27000	29791	30	0	691147	17628119	131073912	0.02075
0	200	27000	29791	30	0	691147	17629259	131073912	0.020735
0	200	27000	29791	30	0	691147	17627265	131073912	0.020754
0	30	27000	29791	30	0	691147	17630045	131073911	0.020741
0	30	27000	29791	30	0	691147	17629766	131073912	0.020774
0	30	27000	29791	30	0	691147	17630357	131073911	0.020836
0	300	27000	29791	30	0	691147	17629749	131073912	0.020756
0	300	27000	29791	30	0	691147	17627723	131073910	0.020756
0	300	27000	29791	30	0	691197	17627957	131073915	0.020736
0	400	27000	29791	30	0	691147	17630398	131073913	0.021005
0	400	27000	29791	30	0	691147	17629437	131073912	0.02075
0	400	27000	29791	30	0	691147	17628183	131073912	0.020734
0	50	27000	29791	30	0	691147	17627147	131073911	0.020737
0	50	27000	29791	30	0	691147	17629291	131073910	0.020742
0	50	27000	29791	30	0	691147	17630939	131073910	0.020756
0	500	27000	29791	30	0	691147	17627163	131073912	0.02074
0	500	27000	29791	30	0	691197	17629131	131073913	0.020738
0	500	27000	29791	30	0	691147	17628438	131073912	0.020737
0	600	27000	29791	30	0	691147	17630177	131073912	0.02076
0	600	27000	29791	30	0	691147	17629372	131073910	0.020748
0	600	27000	29791	30	0	691197	17630624	131073914	0.020741
0	100	42875	46656	35	0	1087962	27980213	208116729	0.032923
0	100	42875	46656	35	0	1087962	27980570	208116730	0.032883
0	100	42875	46656	35	0	1087962	27979585	208116728	0.032902
0	20	42875	46656	35	0	1087962	27980598	208116729	0.032913
0	20	42875	46656	35	0	1087855	27984291	208115950	0.032911
0	20	42875	46656	35	0	1087962	27980907	208116729	0.033921
0	200	42875	46656	35	0	1087962	27983950	208116729	0.032893
0	200	42875	46656	35	0	1087962	27977913	208116728	0.032902
0	200	42875	46656	35	0	1087962	27982444	208116730	0.032925
0	30	42875	46656	35	0	1087855	27982233	208115949	0.0329
0	30	42875	46656	35	0	1087962	27980425	208116730	0.032893
0	30	42875	46656	35	0	1087962	27980672	208116730	0.03291
0	300	42875	46656	35	0	1087855	27979555	208115949	0.033254
0	300	42875	46656	35	0	1087962	27981975	208116730	0.032934
0	300	42875	46656	35	0	1087855	27979465	208115951	0.032884
0	400	42875	46656	35	0	1087962	27980881	208116728	0.032899
0	400	42875	46656	35	0	1087962	27981122	208116730	0.032894
0	400	42875	46656	35	0	1087962	27980268	208116730	0.032896
0	50	42875	46656	35	0	1087855	27979506	208115951	0.032921
0	50	42875	46656	35	0	1087962	27980589	208116730	0.032917
0	50	42875	46656	35	0	1087962	27982550	208116728	0.032886
0	500	42875	46656	35	0	1087855	27981280	208115951	0.032925
0	500	42875	46656	35	0	1087855	27981165	208115950	0.032907
0	500	42875	46656	35	0	1087855	27979049	208115950	0.032903
0	600	42875	46656	35	0	1087962	27980926	208116730	0.032917
0	600	42875	46656	35	0	1087855	27980438	208115954	0.032963
0	600	42875	46656	35	0	1087962	27979374	208116730	0.032911
0	100	64000	68921	40	0	1616087	41770856	310617940	0.049167
0	100	64000	68921	40	0	1616087	41771257	310617941	0.049157
0	100	64000	68921	40	0	1616087	41772661	310617941	0.049177
0	20	64000	68921	40	0	1616087	41769807	310617941	0.049162
0	20	64000	68921	40	0	1616087	41770595	310617943	0.049191
0	20	64000	68921	40	0	1616087	41769730	310617941	0.049202
0	200	64000	68921	40	0	1616087	41772974	310617942	0.049168
0	200	64000	68921	40	0	1616087	41769323	310617940	0.049171
0	200	64000	68921	40	0	1616087	41773637	310617942	0.049182
0	30	64000	68921	40	0	1616087	41770799	310617943	0.049166
0	30	64000	68921	40	0	1616087	41769609	310617941	0.049174
0	30	64000	68921	40	0	1616087	41770248	310617941	0.04917
0	300	64000	68921	40	0	1616087	41772365	310617941	0.04918
0	300	64000	68921	40	0	1616087	41770046	310617941	0.049188
0	300	64000	68921	40	0	1616087	41773530	310617942	0.04918
0	400	64000	68921	40	0	1616087	41772746	310617942	0.049204
0	400	64000	68921	40	0	1616087	41772267	310617941	0.049186
0	400	64000	68921	40	0	1616087	41772018	310617942	0.049192
0	50	64000	68921	40	0	1616087	41771162	310617942	0.049156
0	50	64000	68921	40	0	1616087	41770325	310617941	0.049155
0	50	64000	68921	40	0	1616087	41772018	310617942	0.049464
0	500	64000	68921	40	0	1616087	41773639	310617942	0.049187
0	500	64000	68921	40	0	1616087	41770003	310617941	0.049166
0	500	64000	68921	40	0	1616087	41770930	310617941	0.049173
0	600	64000	68921	40	0	1616087	41771765	310617941	0.049176
0	600	64000	68921	40	0	1616087	41773571	310617942	0.049154
0	600	64000	68921	40	0	1616087	41773333	310617943	0.049192
0	100	3375	4096	15	0	100084	2205210	16418797	0.002742
0	100	3375	4096	15	0	100084	2205184	16418797	0.002747
0	100	3375	4096	15	0	100084	2204679	16418797	0.002746
0	20	3375	4096	15	0	100128	2204853	16419024	0.00292
0	20	3375	4096	15	0	100084	2205364	16418797	0.002749
0	20	3375	4096	15	0	100120	2205262	16418876	0.002756
0	200	3375	4096	15	0	100120	2204869	16418876	0.00274
0	200	3375	4096	15	0	100084	2204593	16418796	0.002755
0	200	3375	4096	15	0	100084	2205108	16418797	0.002738
0	30	3375	4096	15	0	100128	2205501	16419024	0.002748
0	30	3375	4096	15	0	100139	2205104	16418948	0.002744
0	30	3375	4096	15	0	100139	2205808	16418947	0.002749
0	300	3375	4096	15	0	100120	2204897	16418876	0.002746
0	300	3375	4096	15	0	100139	2204871	16418946	0.002753
0	300	3375	4096	15	0	100128	2205306	16419024	0.002742
0	400	3375	4096	15	0	100084	2205223	16418796	0.002747
0	400	3375	4096	15	0	100128	2205657	16419022	0.002746
0	400	3375	4096	15	0	100139	2204574	16418948	0.002745
0	50	3375	4096	15	0	100084	2205928	16418796	0.002746
0	50	3375	4096	15	0	100139	2206197	16418947	0.002752
0	50	3375	4096	15	0	100128	2205117	16419023	0.002737
0	500	3375	4096	15	0	100139	2205508	16418947	0.002738
0	500	3375	4096	15	0	100128	2205631	16419024	0.002744
0	500	3375	4096	15	0	100139	2205025	16418946	0.002751
0	600	3375	4096	15	0	100139	2205868	16418948	0.002749
0	600	3375	4096	15	0	100084	2205668	16418797	0.002749
0	600	3375	4096	15	0	100139	2205221	16418946	0.002744
0	100	8000	9261	20	0	216150	5225985	38867018	0.006291
0	100	8000	9261	20	0	216150	5225942	38867017	0.006289
0	100	8000	9261	20	0	216150	5225628	38867018	0.006298
0	20	8000	9261	20	0	216150	5224926	38867018	0.006285
0	20	8000	9261	20	0	216150	5225227	38867019	0.006285
0	20	8000	9261	20	0	216150	5225875	38867018	0.006278
0	200	8000	9261	20	0	216150	5225493	38867019	0.006289
0	200	8000	9261	20	0	216150	5226118	38867018	0.006289
0	200	8000	9261	20	0	216150	5225777	38867018	0.00628
0	30	8000	9261	20	0	216150	5225242	38867018	0.006275
0	30	8000	9261	20	0	216150	5226336	38867018	0.006269
0	30	8000	9261	20	0	216150	5224967	38867018	0.006298
0	300	8000	9261	20	0	216150	5225034	38867018	0.006286
0	300	8000	9261	20	0	216150	5225327	38867017	0.006278
0	300	8000	9261	20	0	216150	5224627	38867019	0.006274
0	400	8000	9261	20	0	216150	5225357	38867019	0.006272
0	400	8000	9261	20	0	216150	5225530	38867018	0.006285
0	400	8000	9261	20	0	216150	5226569	38867018	0.006293
0	50	8000	9261	20	0	216150	5225150	38867017	0.006494
0	50	8000	9261	20	0	216150	5225738	38867019	0.006285
0	50	8000	9261	20	0	216150	5224645	38867019	0.006283
0	500	8000	9261	20	0	216150	5225067	38867019	0.006289
0	500	8000	9261	20	0	216150	5225770	38867017	0.006272
0	500	8000	9261	20	0	216150	5226714	38867018	0.006292
0	600	8000	9261	20	0	216150	5225350	38867018	0.006284
0	600	8000	9261	20	0	216150	5225035	38867018	0.006277
0	600	8000	9261	20	0	216150	5226182	38867018	0.006274
0	100	10648	12167	22	0	282392	6946409	51717011	0.008277
0	100	10648	12167	22	0	282392	6947632	51717011	0.008267
0	100	10648	12167	22	0	282392	6946696	51717012	0.008265
0	20	10648	12167	22	0	282392	6946356	51717011	0.008265
0	20	10648	12167	22	0	282392	6946475	51717012	0.008273000000000001
0	20	10648	12167	22	0	282392	6946765	51717011	0.00827
0	200	10648	12167	22	0	282392	6947222	51717011	0.008278000000000001
0	200	10648	12167	22	0	282392	6947585	51717011	0.008455000000000001
0	200	10648	12167	22	0	282392	6947344	51717010	0.008274999999999999
0	30	10648	12167	22	0	282392	6948065	51717011	0.008536999999999999
0	30	10648	12167	22	0	282392	6946433	51717010	0.008462000000000001
0	30	10648	12167	22	0	282392	6946084	51717011	0.008283
0	300	10648	12167	22	0	282392	6946974	51717011	0.008279999999999999
0	300	10648	12167	22	0	282392	6947983	51717010	0.008288
0	300	10648	12167	22	0	282392	6947886	51717011	0.008286999999999999
0	400	10648	12167	22	0	282392	6946801	51717011	0.008273000000000001
0	400	10648	12167	22	0	282392	6946850	51717011	0.008262
