module:pub_input::iter	module:pub_input::its	module:pub_input::numElem	module:pub_input::numNode	module:pub_input::nx	module:pub_input::phase	module:measure:PAPI:PAPI_BR_CN	module:measure:PAPI:PAPI_FP_OPS	module:measure:PAPI:PAPI_TOT_INS	module:measure:time:time
0	100	3375	4096	15	0	131569	985351	12190053	0.002485
0	100	3375	4096	15	0	131569	985137	12190053	0.002493
0	100	3375	4096	15	0	131550	985081	12189957	0.002494
0	20	3375	4096	15	0	131670	985256	12190720	0.002654
0	20	3375	4096	15	0	131595	985096	12190345	0.002491
0	20	3375	4096	15	0	131709	984891	12190900	0.002512
0	200	3375	4096	15	0	131683	984890	12190609	0.002492
0	200	3375	4096	15	0	131550	985059	12189959	0.002495
0	200	3375	4096	15	0	131550	985271	12189957	0.002499
0	30	3375	4096	15	0	131670	984966	12190718	0.002485
0	30	3375	4096	15	0	131995	984992	12192558	0.0025
0	30	3375	4096	15	0	131976	985246	12192465	0.002504
0	300	3375	4096	15	0	131664	984933	12190513	0.002494
0	300	3375	4096	15	0	131950	985145	12192177	0.002495
0	300	3375	4096	15	0	131625	984854	12190336	0.002488
0	400	3375	4096	15	0	131550	985217	12189959	0.002489
0	400	3375	4096	15	0	131625	984764	12190337	0.002496
0	400	3375	4096	15	0	131931	984769	12192081	0.002489
0	50	3375	4096	15	0	131614	984873	12190441	0.002487
0	50	3375	4096	15	0	131995	985133	12192560	0.002494
0	50	3375	4096	15	0	131670	984590	12190720	0.002514
0	500	3375	4096	15	0	131950	985157	12192177	0.002496
0	500	3375	4096	15	0	131625	984892	12190336	0.002494
0	500	3375	4096	15	0	131934	984905	12192153	0.002488
0	600	3375	4096	15	0	131931	985237	12192080	0.0025
0	600	3375	4096	15	0	131550	985028	12189958	0.002486
0	600	3375	4096	15	0	131934	985097	12192153	0.002498
0	100	8000	9261	20	0	377661	2337191	29748976	0.005671
0	100	8000	9261	20	0	377661	2337206	29748977	0.005677
0	100	8000	9261	20	0	377680	2337371	29749070	0.005674
0	20	8000	9261	20	0	377737	2337451	29749567	0.005671
0	20	8000	9261	20	0	377733	2337087	29749489	0.00566
0	20	8000	9261	20	0	377733	2336789	29749490	0.005667
0	200	8000	9261	20	0	377661	2337810	29748975	0.005678
0	200	8000	9261	20	0	377694	2336662	29749184	0.005678
0	200	8000	9261	20	0	377661	2337585	29748975	0.005678
0	30	8000	9261	20	0	377717	2337043	29749466	0.005666
0	30	8000	9261	20	0	377714	2337530	29749395	0.005666
0	30	8000	9261	20	0	377733	2337554	29749490	0.005681
0	300	8000	9261	20	0	377661	2337207	29748975	0.005672
0	300	8000	9261	20	0	377680	2337697	29749072	0.005673
0	300	8000	9261	20	0	377661	2336919	29748975	0.005671
0	400	8000	9261	20	0	377694	2337743	29749185	0.005663
0	400	8000	9261	20	0	377680	2336799	29749072	0.005669
0	400	8000	9261	20	0	377680	2336922	29749072	0.005667
0	50	8000	9261	20	0	377733	2337753	29749490	0.005853
0	50	8000	9261	20	0	377733	2337180	29749488	0.005678
0	50	8000	9261	20	0	377733	2337113	29749488	0.005674
0	500	8000	9261	20	0	377680	2337670	29749070	0.00568
0	500	8000	9261	20	0	377680	2336577	29749072	0.00568
0	500	8000	9261	20	0	377680	2337114	29749072	0.005669
0	600	8000	9261	20	0	377680	2337028	29749072	0.005675
0	600	8000	9261	20	0	377674	2337410	29749085	0.005674
0	600	8000	9261	20	0	377661	2337295	29748975	0.005666
0	100	10648	12167	22	0	520481	3112375	39813138	0.00749
0	100	10648	12167	22	0	520501	3112873	39813186	0.007481
0	100	10648	12167	22	0	520707	3112988	39815374	0.007479
0	20	10648	12167	22	0	520763	3113447	39815819	0.00747
0	20	10648	12167	22	0	520591	3112203	39813967	0.007483
0	20	10648	12167	22	0	520785	3112903	39815923	0.00748
0	200	10648	12167	22	0	520721	3112394	39815412	0.007502
0	200	10648	12167	22	0	520740	3111648	39815505	0.007468
0	200	10648	12167	22	0	520740	3111198	39815506	0.007481
0	30	10648	12167	22	0	520591	3112162	39813968	0.007705
0	30	10648	12167	22	0	520796	3112643	39815956	0.007671
0	30	10648	12167	22	0	520785	3112808	39815921	0.007476
0	300	10648	12167	22	0	520561	3111809	39813590	0.007483
0	300	10648	12167	22	0	520729	3112447	39815478	0.007487
0	300	10648	12167	22	0	520535	3112569	39813524	0.007485
0	400	10648	12167	22	0	520740	3112149	39815506	0.007478
0	400	10648	12167	22	0	520707	3112830	39815374	0.00748
