module:pub_input::iter	module:pub_input::its	module:pub_input::numElem	module:pub_input::numNode	module:pub_input::nx	module:pub_input::phase	module:measure:time:time
0	100	3375	4096	15	0	0.000133
0	100	3375	4096	15	0	0.000133
0	100	3375	4096	15	0	0.000134
0	20	3375	4096	15	0	0.000147
0	20	3375	4096	15	0	0.000134
0	20	3375	4096	15	0	0.000133
0	200	3375	4096	15	0	0.000139
0	200	3375	4096	15	0	0.000134
0	200	3375	4096	15	0	0.000134
0	30	3375	4096	15	0	0.000135
0	30	3375	4096	15	0	0.000135
0	30	3375	4096	15	0	0.000169
0	300	3375	4096	15	0	0.000133
0	300	3375	4096	15	0	0.000133
0	300	3375	4096	15	0	0.000146
0	400	3375	4096	15	0	0.000133
0	400	3375	4096	15	0	0.000135
0	400	3375	4096	15	0	0.000133
0	50	3375	4096	15	0	0.000133
0	50	3375	4096	15	0	0.000135
0	50	3375	4096	15	0	0.000134
0	500	3375	4096	15	0	0.000134
0	500	3375	4096	15	0	0.000133
0	500	3375	4096	15	0	0.000167
0	600	3375	4096	15	0	0.000143
0	600	3375	4096	15	0	0.000133
0	600	3375	4096	15	0	0.000134
0	100	8000	9261	20	0	0.000134
0	100	8000	9261	20	0	0.000133
0	100	8000	9261	20	0	0.000132
0	20	8000	9261	20	0	0.000132
0	20	8000	9261	20	0	0.000132
0	20	8000	9261	20	0	0.000133
0	200	8000	9261	20	0	0.000135
0	200	8000	9261	20	0	0.000132
0	200	8000	9261	20	0	0.000132
0	30	8000	9261	20	0	0.000162
0	30	8000	9261	20	0	0.000133
0	30	8000	9261	20	0	0.000154
0	300	8000	9261	20	0	0.000132
0	300	8000	9261	20	0	0.000133
0	300	8000	9261	20	0	0.000136
0	400	8000	9261	20	0	0.000132
0	400	8000	9261	20	0	0.000133
0	400	8000	9261	20	0	0.000133
0	50	8000	9261	20	0	0.000137
0	50	8000	9261	20	0	0.000132
0	50	8000	9261	20	0	0.000134
0	500	8000	9261	20	0	0.000132
0	500	8000	9261	20	0	0.000133
0	500	8000	9261	20	0	0.00014
0	600	8000	9261	20	0	0.000132
0	600	8000	9261	20	0	0.000132
0	600	8000	9261	20	0	0.000132
0	100	10648	12167	22	0	0.000135
0	100	10648	12167	22	0	0.000135
0	100	10648	12167	22	0	0.000135
0	20	10648	12167	22	0	0.000135
0	20	10648	12167	22	0	0.000134
0	20	10648	12167	22	0	0.000135
0	200	10648	12167	22	0	0.000134
0	200	10648	12167	22	0	0.000136
0	200	10648	12167	22	0	0.000152
0	30	10648	12167	22	0	0.000143
0	30	10648	12167	22	0	0.000134
0	30	10648	12167	22	0	0.000136
0	300	10648	12167	22	0	0.000134
0	300	10648	12167	22	0	0.000135
0	300	10648	12167	22	0	0.000139
0	400	10648	12167	22	0	0.000134
0	400	10648	12167	22	0	0.000143
0	400	10648	12167	22	0	0.000135
0	50	10648	12167	22	0	0.000139
0	50	10648	12167	22	0	0.000135
0	50	10648	12167	22	0	0.000135
0	500	10648	12167	22	0	0.000135
0	500	10648	12167	22	0	0.000134
0	500	10648	12167	22	0	0.000135
0	600	10648	12167	22	0	0.000135
0	600	10648	12167	22	0	0.000135
0	600	10648	12167	22	0	0.000136
0	100	15625	17576	25	0	0.000135
0	100	15625	17576	25	0	0.00013
0	100	15625	17576	25	0	0.000132
0	20	15625	17576	25	0	0.000129
0	20	15625	17576	25	0	0.000135
0	20	15625	17576	25	0	0.000131
0	200	15625	17576	25	0	0.000131
0	200	15625	17576	25	0	0.000131
0	200	15625	17576	25	0	0.00013
0	30	15625	17576	25	0	0.00013
0	30	15625	17576	25	0	0.00013
0	30	15625	17576	25	0	0.00013
0	300	15625	17576	25	0	0.00013
0	300	15625	17576	25	0	0.000131
0	300	15625	17576	25	0	0.00013
0	400	15625	17576	25	0	0.000131
0	400	15625	17576	25	0	0.00013
0	400	15625	17576	25	0	0.000131
0	50	15625	17576	25	0	0.00013
0	50	15625	17576	25	0	0.000131
0	50	15625	17576	25	0	0.000142
0	500	15625	17576	25	0	0.000131
0	500	15625	17576	25	0	0.00013
0	500	15625	17576	25	0	0.000131
0	600	15625	17576	25	0	0.000131
0	600	15625	17576	25	0	0.000131
0	600	15625	17576	25	0	0.000134
0	100	21952	24389	28	0	0.00013
0	100	21952	24389	28	0	0.00013
0	100	21952	24389	28	0	0.00013
0	20	21952	24389	28	0	0.000129
0	20	21952	24389	28	0	0.00013
0	20	21952	24389	28	0	0.000134
0	200	21952	24389	28	0	0.00013
0	200	21952	24389	28	0	0.00013
0	200	21952	24389	28	0	0.00013
0	30	21952	24389	28	0	0.00013
0	30	21952	24389	28	0	0.000129
0	30	21952	24389	28	0	0.000131
0	300	21952	24389	28	0	0.00013
0	300	21952	24389	28	0	0.000131
0	300	21952	24389	28	0	0.00013
0	400	21952	24389	28	0	0.000129
0	400	21952	24389	28	0	0.00013
0	400	21952	24389	28	0	0.00013
0	50	21952	24389	28	0	0.000129
0	50	21952	24389	28	0	0.000131
0	50	21952	24389	28	0	0.000131
0	500	21952	24389	28	0	0.000132
0	500	21952	24389	28	0	0.000129
0	500	21952	24389	28	0	0.000135
0	600	21952	24389	28	0	0.00013
0	600	21952	24389	28	0	0.00014
0	600	21952	24389	28	0	0.00013
0	100	27000	29791	30	0	0.000136
0	100	27000	29791	30	0	0.000137
0	100	27000	29791	30	0	0.000132
0	20	27000	29791	30	0	0.000132
0	20	27000	29791	30	0	0.000132
0	20	27000	29791	30	0	0.000132
0	200	27000	29791	30	0	0.000131
0	200	27000	29791	30	0	0.000132
0	200	27000	29791	30	0	0.000132
0	30	27000	29791	30	0	0.000131
0	30	27000	29791	30	0	0.000132
0	30	27000	29791	30	0	0.000132
0	300	27000	29791	30	0	0.000131
0	300	27000	29791	30	0	0.000133
0	300	27000	29791	30	0	0.000132
0	400	27000	29791	30	0	0.000132
0	400	27000	29791	30	0	0.000131
0	400	27000	29791	30	0	0.000131
0	50	27000	29791	30	0	0.000132
0	50	27000	29791	30	0	0.000132
0	50	27000	29791	30	0	0.000133
0	500	27000	29791	30	0	0.000131
0	500	27000	29791	30	0	0.000132
0	500	27000	29791	30	0	0.000132
0	600	27000	29791	30	0	0.000131
0	600	27000	29791	30	0	0.000131
0	600	27000	29791	30	0	0.000132
0	100	42875	46656	35	0	0.000133
0	100	42875	46656	35	0	0.000133
0	100	42875	46656	35	0	0.000134
0	20	42875	46656	35	0	0.000133
0	20	42875	46656	35	0	0.000133
0	20	42875	46656	35	0	0.000138
0	200	42875	46656	35	0	0.000133
0	200	42875	46656	35	0	0.000134
0	200	42875	46656	35	0	0.000134
0	30	42875	46656	35	0	0.000134
0	30	42875	46656	35	0	0.000134
0	30	42875	46656	35	0	0.000136
0	300	42875	46656	35	0	0.000137
0	300	42875	46656	35	0	0.000134
0	300	42875	46656	35	0	0.000133
0	400	42875	46656	35	0	0.000133
0	400	42875	46656	35	0	0.000134
0	400	42875	46656	35	0	0.000133
0	50	42875	46656	35	0	0.000133
0	50	42875	46656	35	0	0.000134
0	50	42875	46656	35	0	0.000134
0	500	42875	46656	35	0	0.000134
0	500	42875	46656	35	0	0.000132
0	500	42875	46656	35	0	0.000137
0	600	42875	46656	35	0	0.000133
0	600	42875	46656	35	0	0.000135
0	600	42875	46656	35	0	0.000134
0	100	64000	68921	40	0	0.000139
0	100	64000	68921	40	0	0.000141
0	100	64000	68921	40	0	0.00014
0	20	64000	68921	40	0	0.000134
0	20	64000	68921	40	0	0.00014
0	20	64000	68921	40	0	0.000141
0	200	64000	68921	40	0	0.000134
0	200	64000	68921	40	0	0.000134
0	200	64000	68921	40	0	0.000136
0	30	64000	68921	40	0	0.000135
0	30	64000	68921	40	0	0.000136
0	30	64000	68921	40	0	0.000139
0	300	64000	68921	40	0	0.000139
0	300	64000	68921	40	0	0.000135
0	300	64000	68921	40	0	0.000135
0	400	64000	68921	40	0	0.000135
0	400	64000	68921	40	0	0.000136
0	400	64000	68921	40	0	0.000135
0	50	64000	68921	40	0	0.000135
0	50	64000	68921	40	0	0.000135
0	50	64000	68921	40	0	0.000136
0	500	64000	68921	40	0	0.000136
0	500	64000	68921	40	0	0.000135
0	500	64000	68921	40	0	0.000135
0	600	64000	68921	40	0	0.000138
0	600	64000	68921	40	0	0.000135
0	600	64000	68921	40	0	0.000137
0	100	3375	4096	15	0	4.7e-05
0	100	3375	4096	15	0	4.8e-05
0	100	3375	4096	15	0	4.8e-05
0	20	3375	4096	15	0	5.2e-05
0	20	3375	4096	15	0	4.8e-05
0	20	3375	4096	15	0	4.8e-05
0	200	3375	4096	15	0	4.7e-05
0	200	3375	4096	15	0	5.3e-05
0	200	3375	4096	15	0	4.8e-05
0	30	3375	4096	15	0	4.8e-05
0	30	3375	4096	15	0	4.8e-05
0	30	3375	4096	15	0	4.8e-05
0	300	3375	4096	15	0	4.7e-05
0	300	3375	4096	15	0	4.7e-05
0	300	3375	4096	15	0	4.8e-05
0	400	3375	4096	15	0	4.8e-05
0	400	3375	4096	15	0	4.8e-05
0	400	3375	4096	15	0	4.8e-05
0	50	3375	4096	15	0	4.7e-05
0	50	3375	4096	15	0	4.8e-05
0	50	3375	4096	15	0	4.7e-05
0	500	3375	4096	15	0	4.8e-05
0	500	3375	4096	15	0	4.8e-05
0	500	3375	4096	15	0	4.8e-05
0	600	3375	4096	15	0	4.8e-05
0	600	3375	4096	15	0	4.8e-05
0	600	3375	4096	15	0	4.7e-05
0	100	8000	9261	20	0	4.8e-05
0	100	8000	9261	20	0	4.8e-05
0	100	8000	9261	20	0	4.8e-05
0	20	8000	9261	20	0	4.8e-05
0	20	8000	9261	20	0	4.8e-05
0	20	8000	9261	20	0	4.8e-05
0	200	8000	9261	20	0	4.8e-05
0	200	8000	9261	20	0	4.8e-05
0	200	8000	9261	20	0	4.8e-05
0	30	8000	9261	20	0	4.8e-05
0	30	8000	9261	20	0	4.8e-05
0	30	8000	9261	20	0	4.8e-05
0	300	8000	9261	20	0	4.8e-05
0	300	8000	9261	20	0	4.8e-05
0	300	8000	9261	20	0	4.7e-05
0	400	8000	9261	20	0	4.8e-05
0	400	8000	9261	20	0	4.8e-05
0	400	8000	9261	20	0	4.8e-05
0	50	8000	9261	20	0	4.9e-05
0	50	8000	9261	20	0	4.8e-05
0	50	8000	9261	20	0	4.7e-05
0	500	8000	9261	20	0	4.8e-05
0	500	8000	9261	20	0	4.8e-05
0	500	8000	9261	20	0	4.8e-05
0	600	8000	9261	20	0	4.8e-05
0	600	8000	9261	20	0	4.8e-05
0	600	8000	9261	20	0	4.8e-05
0	100	10648	12167	22	0	4.7e-05
0	100	10648	12167	22	0	4.8e-05
0	100	10648	12167	22	0	4.7e-05
0	20	10648	12167	22	0	4.8e-05
0	20	10648	12167	22	0	4.8e-05
0	20	10648	12167	22	0	4.9e-05
0	200	10648	12167	22	0	4.8e-05
0	200	10648	12167	22	0	4.7e-05
0	200	10648	12167	22	0	4.7e-05
0	30	10648	12167	22	0	4.8e-05
0	30	10648	12167	22	0	4.8e-05
0	30	10648	12167	22	0	4.8e-05
0	300	10648	12167	22	0	4.8e-05
0	300	10648	12167	22	0	4.8e-05
0	300	10648	12167	22	0	4.9e-05
0	400	10648	12167	22	0	4.8e-05
0	400	10648	12167	22	0	4.8e-05
0	400	10648	12167	22	0	4.8e-05
0	50	10648	12167	22	0	4.9e-05
0	50	10648	12167	22	0	4.8e-05
0	50	10648	12167	22	0	4.8e-05
0	500	10648	12167	22	0	4.9e-05
0	500	10648	12167	22	0	4.8e-05
0	500	10648	12167	22	0	4.8e-05
0	600	10648	12167	22	0	4.8e-05
0	600	10648	12167	22	0	4.7e-05
0	600	10648	12167	22	0	5e-05
0	100	15625	17576	25	0	4.8e-05
0	100	15625	17576	25	0	4.8e-05
0	100	15625	17576	25	0	4.8e-05
0	20	15625	17576	25	0	4.7e-05
0	20	15625	17576	25	0	4.8e-05
0	20	15625	17576	25	0	4.9e-05
0	200	15625	17576	25	0	4.8e-05
0	200	15625	17576	25	0	4.8e-05
0	200	15625	17576	25	0	4.8e-05
0	30	15625	17576	25	0	4.7e-05
0	30	15625	17576	25	0	4.8e-05
0	30	15625	17576	25	0	4.8e-05
0	300	15625	17576	25	0	4.8e-05
0	300	15625	17576	25	0	4.9e-05
0	300	15625	17576	25	0	4.8e-05
0	400	15625	17576	25	0	4.8e-05
0	400	15625	17576	25	0	4.8e-05
0	400	15625	17576	25	0	4.8e-05
0	50	15625	17576	25	0	4.8e-05
0	50	15625	17576	25	0	4.7e-05
0	50	15625	17576	25	0	4.8e-05
0	500	15625	17576	25	0	4.8e-05
0	500	15625	17576	25	0	4.8e-05
0	500	15625	17576	25	0	4.8e-05
0	600	15625	17576	25	0	4.8e-05
0	600	15625	17576	25	0	4.7e-05
0	600	15625	17576	25	0	5.3e-05
0	100	21952	24389	28	0	4.8e-05
0	100	21952	24389	28	0	4.8e-05
0	100	21952	24389	28	0	4.7e-05
0	20	21952	24389	28	0	4.8e-05
0	20	21952	24389	28	0	4.8e-05
0	20	21952	24389	28	0	4.9e-05
0	200	21952	24389	28	0	4.8e-05
0	200	21952	24389	28	0	4.8e-05
0	200	21952	24389	28	0	4.8e-05
0	30	21952	24389	28	0	4.8e-05
0	30	21952	24389	28	0	4.8e-05
0	30	21952	24389	28	0	4.9e-05
