module:input:0:alpha	module:input:0:density	module:input:0:numVertex	module:measure:PAPI:PAPI_LD_INS	module:measure:PAPI:PAPI_TOT_INS	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start	module:output:0:convergence	module:output:0:num_iterations
0.85	0.2	100000	81933988	215528255	0.03814	1426649385.443136	1426649385.40499	4.461977682618197e-06	14
0.85	0.2	100000	81933990	215528255	0.038126	1426649495.819053	1426649495.78092	4.461977682618197e-06	14
0.85	0.2	100000	81933913	215528255	0.038126	1426649604.31892	1426649604.280787	4.461977682618197e-06	14
0.85	0.3	100000	106857397	281476419	0.05211	1426649386.84509	1426649386.792974	5.932456973022082e-06	13
0.85	0.3	100000	106857300	281476420	0.052131	1426649497.18344	1426649497.131303	5.932456973022082e-06	13
0.85	0.3	100000	106857529	281476421	0.052432	1426649605.678806	1426649605.626367	5.932456973022082e-06	13
0.85	0.4	100000	133622308	352487854	0.067369	1426649388.333426	1426649388.26605	9.307207339263747e-06	13
0.85	0.4	100000	133622316	352487854	0.067358	1426649498.615403	1426649498.548038	9.307207339263747e-06	13
0.85	0.4	100000	133622068	352487855	0.06747400000000001	1426649607.109104	1426649607.041623	9.307207339263747e-06	13
0.85	0.5	100000	157568122	416233089	0.081148	1426649389.891107	1426649389.809953	3.938441747373961e-06	13
0.85	0.5	100000	157567539	416233088	0.080149	1426649500.120758	1426649500.040602	3.938441747373961e-06	13
0.85	0.5	100000	157567542	416233088	0.080168	1426649608.615629	1426649608.535454	3.938441747373961e-06	13
0.85	0.6	100000	165089514	436725541	0.08511000000000001	1426649391.510805	1426649391.425689	8.637639915166707e-06	12
0.85	0.6	100000	165089480	436725539	0.08471099999999999	1426649501.683641	1426649501.598924	8.637639915166707e-06	12
0.85	0.6	100000	165089164	436725540	0.084773	1426649610.177792	1426649610.093012	8.637639915166707e-06	12
0.85	0.7	100000	183127952	485094547	0.094149	1426649393.177838	1426649393.083682	1.757466945740278e-06	12
0.85	0.7	100000	183128089	485094545	0.09418700000000001	1426649503.313721	1426649503.219526	1.757466945740278e-06	12
0.85	0.7	100000	183127930	485094546	0.09411799999999999	1426649611.815011	1426649611.720886	1.757466945740278e-06	12
0.85	0.8	100000	199372564	528842226	0.105423	1426649394.950677	1426649394.845247	2.579963501929705e-06	12
0.85	0.8	100000	199372721	528842226	0.105951	1426649504.998491	1426649504.892533	2.579963501929705e-06	12
