module:input:0:alpha	module:input:0:density	module:input:0:numVertex	module:measure:PAPI:PAPI_LD_INS	module:measure:PAPI:PAPI_TOT_INS	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start	module:output:0:rssUsage	module:output:0:vmUsage
0.85	0.2	100000	158919307	479217439	0.174522	1426649385.40403	1426649385.2295	7512	8428
0.85	0.2	100000	158919089	479217437	0.14102	1426649495.779995	1426649495.638967	7512	8428
0.85	0.5	100000	348014912	1045541166	0.315514	1426649500.039414	1426649499.723891	14340	15508
0.85	0.7	40000	170291588	513533758	0.154207	1426649455.344944	1426649455.190729	6920	7404
0.85	0.7	40000	170289471	513533752	0.154179	1426649563.969678	1426649563.815492	6920	7404
0.85	0.8	40000	189503479	571986347	0.220286	1426649344.839188	1426649344.618894	7788	8768
0.85	0.8	40000	189497287	571986343	0.171445	1426649456.663939	1426649456.492486	7788	8768
0.85	0.8	40000	189493513	571986344	0.17125	1426649565.28925	1426649565.117993	7788	8768
0.85	0.2	50000	76830426	232566684	0.096441	1426649346.082249	1426649345.9858	3932	4468
0.85	0.2	50000	76829509	232566684	0.068177	1426649457.886111	1426649457.817926	3932	4468
0.85	0.2	50000	76829216	232566682	0.067838	1426649566.500168	1426649566.432322	3932	4468
0.85	0.3	50000	108148793	326131729	0.141997	1426649347.349814	1426649347.207809	5052	5436
0.85	0.3	50000	108149021	326131723	0.096441	1426649459.112321	1426649459.015873	5052	5436
0.85	0.5	100000	348013791	1045541160	0.314863	1426649608.534274	1426649608.219403	14340	15508
0.85	0.3	50000	108149452	326131724	0.09594800000000001	1426649567.71923	1426649567.623274	5052	5436
0.85	0.4	50000	135582885	408168681	0.134348	1426649348.617017	1426649348.482663	6156	6216
0.85	0.4	50000	135578054	408168674	0.121882	1426649460.37794	1426649460.25605	6156	6216
0.85	0.4	50000	135583102	408168671	0.121668	1426649568.976187	1426649568.854512	6156	6216
0.85	0.5	50000	165179987	496977227	0.181159	1426649349.941005	1426649349.759838	7092	7436
0.85	0.5	50000	165177856	496977228	0.14858	1426649461.678199	1426649461.529611	7092	7436
0.85	0.5	50000	165171061	496977222	0.148663	1426649570.274549	1426649570.125878	7092	7436
0.85	0.6	50000	192006188	578435586	0.206984	1426649351.294349	1426649351.087357	7984	8616
0.85	0.6	50000	191998741	578435587	0.172887	1426649462.995201	1426649462.822307	7984	8616
0.85	0.6	50000	192006213	578435584	0.173711	1426649571.594078	1426649571.420359	7984	8616
0.85	0.6	100000	399303019	1200441424	0.420066	1426649391.424319	1426649391.004244	16012	17700
0.85	0.7	50000	211964567	638334523	0.246152	1426649352.690936	1426649352.444776	8544	9012
0.85	0.7	50000	211958884	638334524	0.192399	1426649464.339276	1426649464.146869	8544	9012
0.85	0.7	50000	211959282	638334523	0.192083	1426649572.933217	1426649572.741126	8544	9012
0.85	0.8	50000	231317270	696215597	0.261653	1426649354.105429	1426649353.843769	9016	9296
0.85	0.8	50000	231313943	696215592	0.211243	1426649465.71017	1426649465.498919	9016	9296
0.85	0.8	50000	231318193	696215589	0.210322	1426649574.293838	1426649574.083508	9016	9296
0.85	0.2	60000	91252619	275749545	0.124628	1426649355.402398	1426649355.277763	4456	4836
0.85	0.2	60000	91249388	275749545	0.08056199999999999	1426649466.951383	1426649466.870813	4456	4836
0.85	0.2	60000	91252560	275749545	0.080777	1426649575.539878	1426649575.459094	4456	4836
0.85	0.3	60000	128971029	388781001	0.170104	1426649356.703645	1426649356.533533	6028	6332
0.85	0.6	100000	399292254	1200441416	0.362156	1426649501.597741	1426649501.235576	16012	17700
0.85	0.3	60000	128969809	388781000	0.114398	1426649468.195132	1426649468.080726	6028	6332
0.85	0.3	60000	128970599	388781001	0.114518	1426649576.781554	1426649576.66703	6028	6332
0.85	0.4	60000	163979237	493197673	0.198602	1426649358.038755	1426649357.840146	7376	7484
0.85	0.4	60000	163974761	493197675	0.147039	1426649469.486765	1426649469.339718	7376	7484
0.85	0.4	60000	163972031	493197679	0.146842	1426649578.063485	1426649577.916636	7376	7484
0.85	0.5	60000	201648686	607206216	0.22383	1426649359.419044	1426649359.195206	8644	9336
0.85	0.5	60000	201643164	607206213	0.180719	1426649470.815973	1426649470.635246	8644	9336
0.85	0.5	60000	201643333	607206217	0.180439	1426649579.390557	1426649579.210112	8644	9336
0.85	0.6	60000	225975262	679057451	0.256606	1426649360.831163	1426649360.574549	9412	9492
0.85	0.6	60000	225970894	679057448	0.205516	1426649472.177755	1426649471.972231	9412	9492
0.85	0.6	100000	399305527	1200441456	0.363514	1426649610.091831	1426649609.728308	16012	17700
0.85	0.6	60000	225971849	679057449	0.204734	1426649580.747051	1426649580.542309	9412	9492
0.85	0.7	60000	257763995	775435409	0.33239	1426649362.32774	1426649361.995342	10292	10928
0.85	0.7	60000	257759272	775435398	0.233637	1426649473.576537	1426649473.342892	10292	10928
0.85	0.7	60000	257753717	775435406	0.23348	1426649582.137608	1426649581.904121	10292	10928
0.85	0.8	60000	280956128	843997008	0.315339	1426649363.821983	1426649363.506637	10792	11044
0.85	0.8	60000	280947539	843997008	0.263518	1426649475.010592	1426649474.747066	10792	11044
0.85	0.8	60000	280951173	843997005	0.258562	1426649583.559001	1426649583.300431	10792	11044
0.85	0.2	70000	106700289	322181788	0.135623	1426649365.142196	1426649365.006566	5192	5632
0.85	0.2	70000	106697533	322181811	0.094222	1426649476.27646	1426649476.182231	5192	5632
0.85	0.2	70000	106699250	322181787	0.093837	1426649584.818561	1426649584.724716	5192	5632
0.85	0.7	100000	452197063	1360177481	0.453166	1426649393.082599	1426649392.629425	18512	20816
0.85	0.3	70000	155089700	467804019	0.210751	1426649366.49014	1426649366.279381	7164	7948
0.85	0.3	70000	155085872	467804015	0.137475	1426649477.551391	1426649477.413909	7164	7948
0.85	0.3	70000	155086780	467804019	0.137137	1426649586.087643	1426649585.950499	7164	7948
0.85	0.4	70000	194232956	584083357	0.216099	1426649367.843145	1426649367.627038	8600	8828
0.85	0.4	70000	194227643	584083357	0.174228	1426649478.87197	1426649478.697735	8600	8828
0.85	0.4	70000	194227976	584083356	0.174362	1426649587.40338	1426649587.22901	8600	8828
0.85	0.5	70000	231839137	696778899	0.258073	1426649369.31453	1426649369.056449	9856	10132
0.85	0.5	70000	231833475	696778898	0.209416	1426649480.241552	1426649480.032128	9856	10132
0.85	0.5	70000	231827286	696778898	0.209156	1426649588.767657	1426649588.558493	9856	10132
0.85	0.6	70000	267017669	802467414	0.289161	1426649370.776105	1426649370.486936	10952	11264
0.85	0.7	100000	452188019	1360177480	0.415197	1426649503.218448	1426649502.803242	18512	20816
0.85	0.6	70000	267014143	802467413	0.242087	1426649481.646332	1426649481.404237	10952	11264
0.85	0.6	70000	267009498	802467417	0.242646	1426649590.176163	1426649589.933509	10952	11264
0.85	0.7	70000	303967150	913923625	0.326874	1426649372.287205	1426649371.960323	12016	12840
0.85	0.7	70000	303959425	913923620	0.276209	1426649483.100545	1426649482.824329	12016	12840
0.85	0.7	70000	303954080	913923622	0.275659	1426649591.6312	1426649591.355533	12016	12840
