module:input:0:alpha	module:input:0:density	module:input:0:numVertex	module:measure:PAPI:PAPI_LD_INS	module:measure:PAPI:PAPI_TOT_INS	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start	module:output:0:diff	module:output:0:num_iterations
0.3	0	100000	46543794	122484632	0.021751	1426613329.709455	1426613329.687698	1.345308344258124e-06	8
0.3	0	100000	46544143	122484633	0.021733	1426613978.556177	1426613978.534437	1.345308344258124e-06	8
0.3	0	100000	46544099	122484633	0.021719	1426614627.60888	1426614627.587155	1.345308344258124e-06	8
0.5	0	100000	58340803	153499233	0.027148	1426613330.978667	1426613330.951513	2.219723822170058e-06	10
0.5	0	100000	58340698	153499232	0.027164	1426613979.837567	1426613979.810397	2.219723822170058e-06	10
0.5	0	100000	58340850	153499232	0.027135	1426614628.886325	1426614628.859184	2.219723822170058e-06	10
0.7	0	100000	70137457	184513832	0.032595	1426613332.264	1426613332.231399	4.110793405533326e-06	12
0.7	0	100000	70137642	184513832	0.032574	1426613981.126107	1426613981.093526	4.110793405533326e-06	12
0.7	0	100000	70137625	184513832	0.032562	1426614630.180868	1426614630.1483	4.110793405533326e-06	12
0.8	0	100000	76036109	200021132	0.035363	1426613333.543968	1426613333.508599	6.090203150871733e-06	13
0.8	0	100000	76035933	200021131	0.035283	1426613982.415998	1426613982.38071	6.090203150871733e-06	13
0.8	0	100000	76035999	200021131	0.035352	1426614631.470268	1426614631.434909	6.090203150871733e-06	13
0.99	0	100000	93731184	246543031	0.043457	1426613336.11407	1426613336.070606	5.587634121252326e-06	16
0.99	0	100000	93731115	246543030	0.043392	1426613984.996335	1426613984.952937	5.587634121252326e-06	16
0.99	0	100000	93731292	246543031	0.043433	1426614634.054842	1426614634.011403	5.587634121252326e-06	16
0.9	0	100000	81934323	215528431	0.03805	1426613334.828899	1426613334.790842	9.584186011466231e-06	14
0.9	0	100000	81934417	215528431	0.038075	1426613983.705568	1426613983.667486	9.584186011466231e-06	14
0.9	0	100000	81934411	215528431	0.038025	1426614632.758354	1426614632.720323	9.584186011466231e-06	14
0.3	0	100000	57121139	150532209	0.028049	1426613337.485465	1426613337.457409	9.362666952727014e-06	7
0.3	0	100000	57121217	150532209	0.028009	1426613986.338365	1426613986.310349	9.362666952727014e-06	7
0.3	0	100000	57121386	150532209	0.028055	1426614635.392798	1426614635.364737	9.362666952727014e-06	7
0.5	0	100000	73700007	194180261	0.036102	1426613338.82719	1426613338.791081	7.508905537565305e-06	9
0.5	0	100000	73700169	194180261	0.036138	1426613987.683785	1426613987.647641	7.508905537565305e-06	9
0.5	0	100000	73700063	194180261	0.036118	1426614636.747907	1426614636.711783	7.508905537565305e-06	9
0.7	0	100000	90278709	237828313	0.044113	1426613340.17942	1426613340.135301	8.098016552300352e-06	11
0.7	0	100000	90278852	237828313	0.04414	1426613989.036928	1426613988.992781	8.098016552300352e-06	11
0.7	0	100000	90278969	237828313	0.044069	1426614638.105746	1426614638.06167	8.098016552300352e-06	11
0.8	0	100000	98568171	259652339	0.048196	1426613341.535365	1426613341.487163	9.491780902231186e-06	12
0.8	0	100000	98568236	259652338	0.048084	1426613990.402979	1426613990.35489	9.491780902231186e-06	12
0.8	0	100000	98568477	259652340	0.048144	1426614639.466743	1426614639.418593	9.491780902231186e-06	12
0.99	0	100000	123436440	325124417	0.060196	1426613344.274386	1426613344.214183	5.233413952657527e-06	15
0.99	0	100000	123436366	325124417	0.060186	1426613993.14241	1426613993.082218	5.233413952657527e-06	15
0.99	0	100000	123436471	325124417	0.060064	1426614642.211736	1426614642.151666	5.233413952657527e-06	15
0.9	0	100000	115147077	303300392	0.056342	1426613342.897449	1426613342.841101	3.999773502879918e-06	14
0.9	0	100000	115147067	303300391	0.056111	1426613991.771663	1426613991.715546	3.999773502879918e-06	14
0.9	0	100000	115147114	303300392	0.05624	1426614640.834691	1426614640.778446	3.999773502879918e-06	14
0.3	0	100000	81802176	215854178	0.041385	1426613345.728441	1426613345.68705	2.843968575195024e-06	8
0.3	0	100000	81802137	215854178	0.041366	1426613994.566502	1426613994.52513	2.843968575195024e-06	8
0.3	0	100000	81802073	215854178	0.041356	1426614643.62148	1426614643.580117	2.843968575195024e-06	8
0.5	0	100000	102530274	270507696	0.051677	1426613347.143595	1426613347.091911	3.030050367769041e-06	10
0.5	0	100000	102530315	270507697	0.051664	1426613995.994868	1426613995.943198	3.030050367769041e-06	10
0.5	0	100000	102530271	270507697	0.051659	1426614645.040897	1426614644.989232	3.030050367769041e-06	10
0.7	0	100000	123258511	325161215	0.062135	1426613348.575245	1426613348.513104	3.678969543898466e-06	12
0.7	0	100000	123258402	325161215	0.062081	1426613997.426804	1426613997.364716	3.678969543898466e-06	12
0.7	0	100000	123258378	325161215	0.062037	1426614646.486531	1426614646.424487	3.678969543898466e-06	12
0.8	0	100000	133622466	352487974	0.067302	1426613350.01766	1426613349.950351	4.444294242803605e-06	13
0.8	0	100000	133622638	352487975	0.067395	1426613998.867011	1426613998.79961	4.444294242803605e-06	13
0.8	0	100000	133622681	352487976	0.067436	1426614647.928318	1426614647.860876	4.444294242803605e-06	13
0.99	0	100000	154350798	407141494	0.077765	1426613352.90295	1426613352.82518	6.769930205036276e-06	15
0.99	0	100000	154350666	407141493	0.077526	1426614001.770027	1426614001.692494	6.769930205036276e-06	15
0.99	0	100000	154350593	407141492	0.077456	1426614650.825357	1426614650.747894	6.769930205036276e-06	15
0.9	0	100000	143986544	379814734	0.072424	1426613351.459041	1426613351.386611	5.714341247196733e-06	14
0.9	0	100000	143986517	379814733	0.072421	1426614000.321538	1426614000.249111	5.714341247196733e-06	14
0.9	0	100000	143986590	379814734	0.072339	1426614649.375963	1426614649.303617	5.714341247196733e-06	14
0.3	0	100000	96473326	254917649	0.049207	1426613354.430042	1426613354.380828	2.471550616530588e-06	8
0.3	0	100000	96473210	254917649	0.049346	1426614003.256161	1426614003.206808	2.471550616530588e-06	8
0.3	0	100000	96473312	254917651	0.049244	1426614652.317663	1426614652.268412	2.471550616530588e-06	8
0.5	0	100000	120911159	319443894	0.061844	1426613355.924752	1426613355.862901	1.995107777460356e-06	10
0.5	0	100000	120911128	319443893	0.061485	1426614004.767271	1426614004.705781	1.995107777460356e-06	10
0.5	0	100000	120911060	319443894	0.061503	1426614653.814854	1426614653.753346	1.995107777460356e-06	10
0.7	0	100000	133130016	351707014	0.067649	1426613357.426345	1426613357.358689	8.778123368731351e-06	11
0.7	0	100000	133130098	351707016	0.067631	1426614006.273774	1426614006.206137	8.778123368731351e-06	11
0.7	0	100000	133129875	351707015	0.06757000000000001	1426614655.317478	1426614655.249901	8.778123368731351e-06	11
0.8	0	100000	145349009	383970140	0.074022	1426613358.926265	1426613358.852237	7.981199450938321e-06	12
0.8	0	100000	145348607	383970136	0.073743	1426614007.783384	1426614007.709635	7.981199450938321e-06	12
0.8	0	100000	145348767	383970138	0.073749	1426614656.828355	1426614656.754599	7.981199450938321e-06	12
0.99	0	100000	169786625	448496384	0.08627899999999999	1426613361.946728	1426613361.860442	7.421870232055349e-06	14
0.99	0	100000	169786989	448496382	0.086441	1426614010.825124	1426614010.738677	7.421870232055349e-06	14
0.99	0	100000	169786815	448496383	0.086258	1426614659.872694	1426614659.78643	7.421870232055349e-06	14
0.9	0	100000	157567897	416233260	0.08015799999999999	1426613360.435708	1426613360.355543	7.904112512617822e-06	13
0.9	0	100000	157567767	416233259	0.079903	1426614009.295371	1426614009.215463	7.904112512617822e-06	13
0.9	0	100000	157567738	416233259	0.07994900000000001	1426614658.352414	1426614658.272459	7.904112512617822e-06	13
0.3	0	100000	109589512	289974455	0.056565	1426613363.535331	1426613363.478759	2.340888911497715e-06	8
0.3	0	100000	109589751	289974455	0.056541	1426614012.364101	1426614012.307553	2.340888911497715e-06	8
0.3	0	100000	109590516	289974468	0.057339	1426614661.412324	1426614661.354978	2.340888911497715e-06	8
0.5	0	100000	137339551	363350083	0.070494	1426613365.0896	1426613365.019099	1.587447149619481e-06	10
0.5	0	100000	137339757	363350085	0.070662	1426614013.925049	1426614013.85438	1.587447149619481e-06	10
