module:input:0:alpha	module:input:0:density	module:input:0:numVertex	module:measure:PAPI:PAPI_LD_INS	module:measure:PAPI:PAPI_TOT_INS	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start	module:output:0:rssUsage	module:output:0:vmUsage
0.3	0.2	100000	158924044	479220145	0.220991	1426613329.686791	1426613329.465793	7508	8428
0.3	0.2	100000	158919854	479220152	0.144654	1426613978.533527	1426613978.388865	7508	8428
0.8	0.2	100000	158916792	479220148	0.140361	1426613982.379809	1426613982.23944	7508	8428
0.8	0.7	100000	452184433	1360175302	0.414363	1426614026.618669	1426614026.204298	18512	20816
0.8	0.8	70000	329150686	988580082	0.302248	1426613915.008112	1426613914.705855	12540	12816
0.8	0.8	70000	329154546	988580079	0.302358	1426614564.05505	1426614563.752684	12540	12816
0.99	0.8	70000	329147386	988580076	0.302114	1426613269.100259	1426613268.798138	12540	12816
0.99	0.8	70000	329153816	988580080	0.302124	1426613917.995092	1426613917.692959	12540	12816
0.99	0.8	70000	329149815	988580073	0.302063	1426614567.044431	1426614566.742359	12540	12816
0.9	0.8	70000	329150002	988580081	0.302927	1426613267.610502	1426613267.307566	12540	12816
0.9	0.8	70000	329154026	988580076	0.302107	1426613916.50368	1426613916.201566	12540	12816
0.9	0.8	70000	329154296	988580077	0.301947	1426614565.546769	1426614565.244813	12540	12816
0.3	0.2	80000	122758457	370297151	0.157465	1426613270.469499	1426613270.312027	5924	6392
0.3	0.2	80000	122759659	370297155	0.108428	1426613919.297695	1426613919.189259	5924	6392
0.8	0.7	100000	452196925	1360175290	0.415964	1426614675.676433	1426614675.260461	18512	20816
0.3	0.2	80000	122761030	370297151	0.109165	1426614568.355399	1426614568.246227	5924	6392
0.5	0.2	80000	122754170	370297151	0.107779	1426613271.698777	1426613271.59099	5924	6392
0.5	0.2	80000	122760085	370297154	0.111697	1426613920.532306	1426613920.420602	5924	6392
0.5	0.2	80000	122758073	370297156	0.108664	1426614569.5966	1426614569.487928	5924	6392
0.7	0.2	80000	122756147	370297155	0.108382	1426613272.932909	1426613272.824519	5924	6392
0.7	0.2	80000	122759036	370297150	0.108628	1426613921.7705	1426613921.661864	5924	6392
0.7	0.2	80000	122760211	370297150	0.108722	1426614570.838497	1426614570.729767	5924	6392
0.8	0.2	80000	122755107	370297154	0.108272	1426613274.176699	1426613274.068419	5924	6392
0.8	0.2	80000	122758450	370297146	0.108392	1426613923.016561	1426613922.908161	5924	6392
0.8	0.2	80000	122760298	370297148	0.108945	1426614572.093364	1426614571.984412	5924	6392
0.99	0.7	100000	452190840	1360175308	0.421522	1426613381.02906	1426613380.60753	18512	20816
0.99	0.2	80000	122753572	370297149	0.107641	1426613276.667145	1426613276.559496	5924	6392
0.99	0.2	80000	122756776	370297154	0.108634	1426613925.516881	1426613925.40824	5924	6392
0.99	0.2	80000	122757684	370297152	0.108421	1426614574.602658	1426614574.494229	5924	6392
0.9	0.2	80000	122756293	370297153	0.107582	1426613275.425192	1426613275.317602	5924	6392
0.9	0.2	80000	122759189	370297152	0.108587	1426613924.27018	1426613924.161585	5924	6392
0.9	0.2	80000	122759752	370297152	0.108371	1426614573.345004	1426614573.236625	5924	6392
0.3	0.3	80000	179119750	539510267	0.200044	1426613278.010887	1426613277.810835	8164	8868
0.3	0.3	80000	179124680	539510263	0.159665	1426613926.820355	1426613926.660683	8164	8868
0.3	0.3	80000	179122830	539510263	0.159371	1426614575.914663	1426614575.755284	8164	8868
0.5	0.3	80000	179118236	539510264	0.158537	1426613279.29439	1426613279.135846	8164	8868
0.99	0.7	100000	452196999	1360175297	0.414953	1426614029.881944	1426614029.466983	18512	20816
0.5	0.3	80000	179120120	539510261	0.159111	1426613928.111478	1426613927.952359	8164	8868
0.5	0.3	80000	179121029	539510265	0.159167	1426614577.20758	1426614577.048405	8164	8868
0.7	0.3	80000	179115962	539510262	0.158386	1426613280.596943	1426613280.438549	8164	8868
0.7	0.3	80000	179121225	539510262	0.159004	1426613929.411502	1426613929.25249	8164	8868
0.7	0.3	80000	179125000	539510263	0.159025	1426614578.51775	1426614578.358717	8164	8868
0.8	0.3	80000	179116593	539510259	0.158761	1426613281.902838	1426613281.744069	8164	8868
0.8	0.3	80000	179119801	539510263	0.159388	1426613930.714264	1426613930.554868	8164	8868
0.8	0.3	80000	179124795	539510263	0.159272	1426614579.836334	1426614579.677054	8164	8868
0.99	0.3	80000	179117906	539510265	0.158489	1426613284.512632	1426613284.354135	8164	8868
0.99	0.3	80000	179123542	539510262	0.158655	1426613933.345314	1426613933.186651	8164	8868
0.99	0.7	100000	452194521	1360175302	0.415067	1426614678.945335	1426614678.530259	18512	20816
0.99	0.3	80000	179123839	539510265	0.159951	1426614582.472034	1426614582.312075	8164	8868
0.9	0.3	80000	179119393	539510259	0.15844	1426613283.200914	1426613283.042468	8164	8868
0.9	0.3	80000	179120498	539510261	0.159964	1426613932.02384	1426613931.863868	8164	8868
0.9	0.3	80000	179119464	539510263	0.15899	1426614581.150281	1426614580.991283	8164	8868
0.3	0.4	80000	228561156	687655033	0.24659	1426613285.915805	1426613285.669207	9972	10780
0.3	0.4	80000	228563786	687655032	0.204979	1426613934.70431	1426613934.499324	9972	10780
0.3	0.4	80000	228560240	687655032	0.204441	1426614583.841444	1426614583.636994	9972	10780
0.5	0.4	80000	228559517	687655028	0.203981	1426613287.25883	1426613287.054841	9972	10780
0.5	0.4	80000	228560873	687655031	0.204344	1426613936.053091	1426613935.84874	9972	10780
0.5	0.4	80000	228567897	687655031	0.204469	1426614585.185731	1426614584.981254	9972	10780
0.9	0.7	100000	452189995	1360175302	0.414043	1426613379.384488	1426613378.970437	18512	20816
0.7	0.4	80000	228554846	687655034	0.20364	1426613288.605594	1426613288.401946	9972	10780
0.7	0.4	80000	228562229	687655027	0.204078	1426613937.405337	1426613937.20125	9972	10780
0.7	0.4	80000	228563078	687655033	0.204617	1426614586.547762	1426614586.343136	9972	10780
0.8	0.4	80000	228556946	687655034	0.205692	1426613289.967803	1426613289.762104	9972	10780
0.8	0.4	80000	228563634	687655035	0.204264	1426613938.769046	1426613938.564773	9972	10780
0.8	0.4	80000	228565543	687655036	0.204554	1426614587.914881	1426614587.710319	9972	10780
0.99	0.4	80000	228556341	687655030	0.203873	1426613292.707678	1426613292.503797	9972	10780
0.99	0.4	80000	228564794	687655033	0.204242	1426613941.50957	1426613941.30532	9972	10780
0.99	0.4	80000	228563627	687655031	0.20442	1426614590.657536	1426614590.453108	9972	10780
0.9	0.4	80000	228558531	687655036	0.20378	1426613291.330334	1426613291.126546	9972	10780
0.9	0.7	100000	452195544	1360175304	0.415692	1426614028.247974	1426614027.832274	18512	20816
0.9	0.4	80000	228559114	687655035	0.204214	1426613940.141268	1426613939.937047	9972	10780
0.9	0.4	80000	228559837	687655033	0.204123	1426614589.287835	1426614589.083704	9972	10780
0.3	0.5	80000	267776034	804220033	0.316065	1426613294.192053	1426613293.87598	11276	11700
0.3	0.5	80000	267778158	804220035	0.272003	1426613942.949937	1426613942.677926	11276	11700
0.3	0.5	80000	267775419	804220029	0.24151	1426614592.07044	1426614591.828922	11276	11700
0.5	0.5	80000	267767558	804220027	0.241298	1426613295.583023	1426613295.341718	11276	11700
0.5	0.5	80000	267774788	804220028	0.242959	1426613944.379985	1426613944.137018	11276	11700
0.5	0.5	80000	267777352	804220025	0.241888	1426614593.465468	1426614593.223572	11276	11700
0.7	0.5	80000	267768861	804220032	0.240856	1426613296.978831	1426613296.737967	11276	11700
0.7	0.5	80000	267779173	804220029	0.241948	1426613945.859096	1426613945.61714	11276	11700
0.9	0.7	100000	452193379	1360175296	0.415087	1426614677.310259	1426614676.895164	18512	20816
0.7	0.5	80000	267778302	804220029	0.241269	1426614594.866452	1426614594.625175	11276	11700
0.8	0.5	80000	267770817	804220030	0.241124	1426613298.386814	1426613298.145683	11276	11700
0.8	0.5	80000	267776416	804220029	0.24097	1426613947.278453	1426613947.037476	11276	11700
0.8	0.5	80000	267772532	804220031	0.241045	1426614596.279826	1426614596.038774	11276	11700
0.99	0.5	80000	267769497	804220030	0.240906	1426613301.206196	1426613300.965282	11276	11700
0.99	0.5	80000	267776098	804220034	0.241626	1426613950.124651	1426613949.883017	11276	11700
0.99	0.5	80000	267776742	804220030	0.242149	1426614599.120525	1426614598.878367	11276	11700
0.9	0.5	80000	267774208	804220032	0.241113	1426613299.796927	1426613299.555806	11276	11700
0.9	0.5	80000	267777806	804220034	0.242105	1426613948.700018	1426613948.457905	11276	11700
0.9	0.5	80000	267777581	804220029	0.242016	1426614597.701361	1426614597.459337	11276	11700
0.3	0.8	100000	498392040	1497287132	0.468082	1426613382.715035	1426613382.246944	18412	20388
0.3	0.6	80000	307982504	924700953	0.324107	1426613302.705979	1426613302.381864	12488	12804
0.3	0.6	80000	307981511	924700956	0.280585	1426613951.584176	1426613951.303583	12488	12804
0.3	0.6	80000	307977642	924700954	0.280634	1426614600.585109	1426614600.304467	12488	12804
0.5	0.6	80000	307975844	924700951	0.279653	1426613304.145397	1426613303.865736	12488	12804
0.5	0.6	80000	307975300	924700950	0.280038	1426613953.022705	1426613952.742659	12488	12804
0.5	0.6	80000	307975206	924700955	0.282846	1426614602.043122	1426614601.760269	12488	12804
0.7	0.6	80000	307972171	924700955	0.279148	1426613305.584905	1426613305.305749	12488	12804
0.7	0.6	80000	307978338	924700952	0.280445	1426613954.482902	1426613954.202449	12488	12804
0.7	0.6	80000	307975743	924700950	0.279689	1426614603.48951	1426614603.209813	12488	12804
0.8	0.6	80000	307968956	924700950	0.27949	1426613307.03247	1426613306.752972	12488	12804
0.3	0.8	100000	498394077	1497287132	0.461861	1426614031.572335	1426614031.110465	18412	20388
0.8	0.6	80000	307978011	924700953	0.280926	1426613955.941404	1426613955.660469	12488	12804
0.8	0.6	80000	307979662	924700958	0.280728	1426614604.947088	1426614604.666352	12488	12804
0.99	0.6	80000	307970721	924700942	0.280067	1426613309.939497	1426613309.659422	12488	12804
0.99	0.6	80000	307979159	924700955	0.279892	1426613958.880769	1426613958.600869	12488	12804
0.99	0.6	80000	307979847	924700958	0.280251	1426614607.89218	1426614607.611921	12488	12804
0.9	0.6	80000	307979022	924700955	0.279473	1426613308.485309	1426613308.205828	12488	12804
0.9	0.6	80000	307976576	924700952	0.279955	1426613957.408134	1426613957.128171	12488	12804
0.9	0.6	80000	307980385	924700947	0.28119	1426614606.418177	1426614606.136978	12488	12804
0.3	0.7	80000	344715718	1034920398	0.391897	1426613311.510277	1426613311.118372	13500	13788
0.3	0.7	80000	344705507	1034920395	0.315103	1426613960.386023	1426613960.070912	13500	13788
0.8	0.2	100000	158920311	479220143	0.140813	1426614631.433994	1426614631.293174	7508	8428
0.3	0.8	100000	498390457	1497287138	0.463064	1426614680.640107	1426614680.177035	18412	20388
0.3	0.7	80000	344704555	1034920394	0.315195	1426614609.399323	1426614609.08412	13500	13788
0.5	0.7	80000	344703482	1034920393	0.314869	1426613312.978099	1426613312.663222	13500	13788
