module:input:0:probDimension	module:pub_input::blockSize	module:pub_input::mem_max	module:pub_input::nnz	module:pub_input::t_max	module:measure:PAPI:PAPI_L2_DCM	module:measure:PAPI:PAPI_L2_DC_MR	module:measure:PAPI:PAPI_TOT_INS	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start	module:output:0:rssUsage	module:output:0:vmUsage
524288	1	10000	1000	5	1253693870	0.555993663931393	255957602020	46.122161	1425448389.047831	1425448342.92566	3056	764
524288	1	10000	1000	5	921726360	0.5558772469182076	235486569806	42.627997	1425451173.930998	1425451131.302992	3056	764
131072	1	10000	100	5	107883993	0.6588393629417942	19158467427	3.569946	1425450950.823884	1425450947.253929	3096	756
131072	1	50000	500	5	485738636	0.5867281398364913	110079199731	20.137701	1425451714.563372	1425451694.425661	3052	760
131072	1	50000	500	5	485693209	0.5866199089720331	110079199747	20.139368	1425454511.657276	1425454491.517898	3052	760
524288	1	5000	500	5	661354228	0.5866945674647258	120326613551	21.924085	1425447584.758706	1425447562.834611	3052	760
524288	1	5000	500	5	485638366	0.5868527358784379	110079199114	20.132545	1425450367.603688	1425450347.471134	3052	760
524288	1	5000	500	5	661307585	0.586696455671181	120326613503	21.922005	1425453160.169728	1425453138.247713	3052	760
131072	1	10000	50	5	54415835	0.6599054730081702	9753995838	1.783085	1425448111.934306	1425448110.151213	732	0
131072	1	10000	50	5	54459431	0.6603872351852562	9753995877	1.783364	1425450900.316229	1425450898.532855	2340	0
131072	1	10000	50	5	74105002	0.6597904052365695	10800229136	1.990322	1425453697.481226	1425453695.490846	-2844	244
1048576	1	1000	50	5	74254177	0.6609760203555988	10800230170	1.985773	1425447048.130018	1425447046.144192	-2840	244
1048576	1	1000	50	5	54484346	0.6604610263616028	9753997225	1.79801	1425449834.352978	1425449832.554916	-3084	0
131072	1	10000	100	5	107882985	0.6586852782156086	19158467400	3.569843	1425453748.592055	1425453745.022203	3080	756
1048576	1	1000	50	5	74257994	0.6610192178681615	10800230161	1.985644	1425452625.973042	1425452623.987343	-2840	244
131072	1	100	50	5	74248224	0.6611198056010181	10800229584	1.979858	1425446671.669599	1425446669.689732	2580	244
131072	1	100	50	5	54555301	0.6615173845821622	9753996752	1.789369	1425449458.568383	1425449456.779	-2100	0
131072	1	100	50	5	54654137	0.6628103805202877	9753996609	1.789406	1425452248.96291	1425452247.173494	2364	0
131072	1	50000	50	5	54581360	0.6618947162751307	9753997126	1.794155	1425448787.65079	1425448785.856583	-3084	0
131072	1	50000	50	5	54477553	0.6606971509709015	9753996756	1.783597	1425451575.227765	1425451573.44416	732	0
131072	1	50000	50	5	54558298	0.661674145539914	9753996770	1.783699	1425454372.706575	1425454370.922868	732	0
8388608	1	5000	50	5	54470250	0.6603130305808145	9753997233	1.795461	1425447444.491768	1425447442.696255	-3084	0
8388608	1	5000	50	5	74584374	0.6639576208722361	10800229838	1.978771	1425450228.030102	1425450226.051321	2580	244
8388608	1	5000	50	5	74063370	0.6593018305965155	10800229825	1.978032	1425453019.726192	1425453017.748149	2584	244
524288	1	1000	100	5	147032089	0.6584291084493642	21226987176	3.962124	1425447099.571903	1425447095.609726	-2328	756
524288	1	500	50	5	74550352	0.6638406156750257	10800228108	1.974363	1425446790.392907	1425446788.418535	2584	244
524288	1	500	50	5	54341664	0.6590117011742431	9753995164	1.788241	1425449576.971069	1425449575.182819	2340	0
524288	1	500	50	5	54574059	0.661836452644855	9753995159	1.784141	1425452367.849935	1425452366.065784	2340	0
8388608	1	10000	60	5	64727950	0.6550795253576381	11603204475	2.128143	1425448119.748867	1425448117.620714	2340	0
8388608	1	10000	60	5	65103253	0.6587742806526599	11603204876	2.135645	1425450908.107822	1425450905.972124	-3084	0
8388608	1	10000	60	5	88200809	0.6554482817517731	12853909814	2.351306	1425453705.487266	1425453703.135953	976	244
1048576	1	1000	60	5	88187738	0.6553448938127144	12853909777	2.356457	1425447056.157143	1425447053.800677	2588	244
1048576	1	1000	60	5	88295197	0.6561192497029505	12853909767	2.351781	1425449842.370381	1425449840.01859	2568	244
1048576	1	1000	60	5	65219128	0.6600410024329141	11603204472	2.125817	1425452633.769772	1425452631.643945	2336	0
131072	1	100	60	5	88637055	0.6586400736458971	12853909520	2.353235	1425446679.697238	1425446677.343992	2608	244
524288	1	1000	100	5	147048831	0.6586167562249251	21226986893	3.944165	1425449885.512055	1425449881.567881	3092	756
131072	1	100	60	5	64687555	0.6546513083922032	11603204255	2.127815	1425449466.361427	1425449464.233604	732	0
131072	1	100	60	5	65246410	0.6602740793170531	11603204254	2.12612	1425452256.747534	1425452254.621407	732	0
131072	1	50000	60	5	65299594	0.6610377083054884	11603204482	2.125129	1425448795.442506	1425448793.317369	732	0
131072	1	50000	60	5	64683491	0.654753160802635	11603204476	2.128425	1425451583.037903	1425451580.90947	732	0
131072	1	50000	60	5	64950290	0.6575326559174308	11603204436	2.125324	1425454380.520592	1425454378.395258	2340	0
4194304	1	5000	60	5	64748193	0.6552384395231589	11603204482	2.12863	1425447452.297061	1425447450.168421	2324	0
4194304	1	5000	60	5	64628714	0.6541044071806568	11603204515	2.124812	1425450235.806549	1425450233.68173	732	0
4194304	1	5000	60	5	64949164	0.6572529893834415	11603204807	2.136709	1425453027.517957	1425453025.381197	-3088	0
524288	1	500	60	5	88892397	0.6605159005013908	12853908062	2.359038	1425446798.425099	1425446796.066052	2580	244
524288	1	500	60	5	65092160	0.6586665903830118	11603203094	2.138117	1425449584.783322	1425449582.645153	-3084	0
524288	1	1000	100	5	107896770	0.6588563774547425	19158466692	3.570583	1425452676.60974	1425452673.039149	3080	756
524288	1	500	60	5	88434975	0.6571162695324587	12853908394	2.364371	1425452375.866094	1425452373.50167	-2840	244
131072	1	10000	70	5	75215573	0.6562724254515018	13415513928	2.483099	1425448128.632626	1425448126.149517	3092	756
131072	1	10000	70	5	75204054	0.6561224572590234	13415513933	2.487232	1425450917.010085	1425450914.522843	3120	756
131072	1	10000	70	5	75213672	0.6561996717853151	13415513917	2.482518	1425453714.390059	1425453711.907531	3096	756
1048576	1	1000	70	5	102606160	0.6562508680331424	14870618365	2.756468	1425447065.309566	1425447062.553046	-2328	756
1048576	1	1000	70	5	75227258	0.6561523441188225	13415514943	2.485901	1425449851.264003	1425449848.778093	3096	756
1048576	1	1000	70	5	75224884	0.6562490362894979	13415514930	2.490175	1425452642.6864	1425452640.196216	3092	756
131072	1	50000	70	5	102571362	0.6562081640462544	14870617494	2.753547	1425448804.62335	1425448801.869793	3080	756
131072	1	50000	70	5	75217569	0.6561202153665145	13415514285	2.487932	1425451591.969232	1425451589.48129	3092	756
131072	1	50000	70	5	75240794	0.6562799224484887	13415514291	2.482738	1425454389.408433	1425454386.925685	3096	756
131072	1	50000	100	5	107894163	0.6587866815508001	19158467762	3.574915	1425448838.516413	1425448834.941489	3080	756
4194304	1	5000	70	5	75241928	0.6563106969892466	13415514915	2.481937	1425447461.196977	1425447458.71503	3096	756
4194304	1	5000	70	5	102575211	0.6563301781326027	14870618088	2.74617	1425450244.965231	1425450242.219052	3092	756
4194304	1	5000	70	5	102558921	0.6559532625313367	14870618349	2.762145	1425453036.705579	1425453033.943381	-2328	756
524288	1	500	70	5	75205777	0.6561175460848346	13415513210	2.486405	1425446807.320985	1425446804.83457	3096	756
524288	1	500	70	5	75209411	0.6561637333361811	13415513205	2.484539	1425449593.688169	1425449591.203621	3092	756
524288	1	500	70	5	102548811	0.6562026397210635	14870616375	2.745982	1425452385.015554	1425452382.269563	3092	756
131072	1	10000	80	5	87047661	0.6637698200664968	15333928988	2.854516	1425448138.696294	1425448135.841768	3096	756
131072	1	10000	80	5	118649637	0.663660269920435	16993504469	3.163283	1425450927.380123	1425450924.21683	3120	756
131072	1	10000	80	5	119972782	0.6710624141645802	16993504452	3.162379	1425453724.758593	1425453721.596203	3080	756
1048576	1	1000	80	5	87050572	0.6639369187038801	15333929994	2.858277	1425447075.380912	1425447072.522627	3080	756
131072	1	50000	100	5	107881065	0.6586317419623529	19158467772	3.57586	1425451625.825947	1425451622.250079	3080	756
1048576	1	1000	80	5	118671747	0.663883887114011	16993505490	3.16272	1425449861.638367	1425449858.475638	3080	756
1048576	1	1000	80	5	87031540	0.6635615311786134	15333929993	2.85966	1425452652.764613	1425452649.904943	3092	756
131072	1	50000	80	5	87041382	0.6639234442519948	15333929335	2.855294	1425448814.666107	1425448811.810804	3080	756
131072	1	50000	80	5	118669001	0.6638302225397257	16993504801	3.156854	1425451602.337664	1425451599.180801	3096	756
131072	1	50000	80	5	118681133	0.6638583567116306	16993504799	3.157077	1425454399.762566	1425454396.605479	3096	756
4194304	1	5000	80	5	118684875	0.6638640519544576	16993505490	3.162666	1425447471.566409	1425447468.403733	3096	756
