module:input:0:probDimension	module:pub_input::blockSize	module:pub_input::mem_max	module:pub_input::nnz	module:pub_input::t_max	module:measure:PAPI:PAPI_L2_DCM	module:measure:PAPI:PAPI_L2_DC_MR	module:measure:PAPI:PAPI_TOT_INS	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start	module:output:0:blocked_mflop_median	module:output:0:unblocked_mflop_max
8388608	1	5000	30	5	1126	0.6623529411764706	283605	0.000173	1425450215.497205	1425450215.497026	170.9322788515711	341.8645577031422
8388608	1	5000	30	5	1186	0.6820011500862565	283594	0.000171	1425453007.021107	1425453007.02093	169.8131165964632	339.6262331929265
1048576	1	500	30	5	1129	0.6764529658478131	282905	0.000169	1425446777.878604	1425446777.87843	169.514484165865	339.0289683317299
1048576	1	500	30	5	1155	0.6691772885283893	282975	0.000177	1425449564.611231	1425449564.611047	171.1451313695824	342.2902627391648
1048576	1	500	30	5	1120	0.6599882144961697	282986	0.000171	1425452355.491622	1425452355.491445	169.1410628893511	338.2821257787022
131072	1	10000	40	5	1842	0.6481351161154116	282370	0.00059	1425448105.219508	1425448105.218911	169.9198823904129	339.8397647808258
131072	1	10000	40	5	1902	0.6638743455497382	282375	0.000595	1425450893.6037	1425450893.603099	169.9595436840873	339.9190873681745
131072	1	10000	40	5	1783	0.6432178932178932	282426	0.000597	1425453690.562906	1425453690.562302	170.8291032189953	341.6582064379907
2097152	1	1000	40	5	1177	0.6968620485494376	283154	0.000168	1425447041.217436	1425447041.217262	171.2536236659258	342.5072473318517
2097152	1	1000	40	5	1167	0.6844574780058651	283169	0.000171	1425449827.633935	1425449827.633758	171.3338150122363	342.6676300244727
2097152	1	1000	40	5	1108	0.6630760023937762	283169	0.000169	1425452619.059805	1425452619.05963	169.5577477627327	339.1154955254654
131072	1	100	40	5	1837	0.6535040910707933	281556	0.00058	1425446664.735065	1425446664.734479	171.0987908486846	342.1975816973692
131072	1	100	40	5	1733	0.6095673584241997	281572	0.00058	1425449451.852886	1425449451.8523	171.1792369761924	342.3584739523848
131072	1	100	40	5	1731	0.6153572698186989	281568	0.000586	1425452242.223877	1425452242.223284	171.3298103356206	342.6596206712412
131072	1	50000	40	5	1733	0.6167259786476869	281738	0.000589	1425448780.92738	1425448780.926784	170.1648434602141	340.3296869204281
