module:input:0:dim1	module:input:0:dim2	module:input:0:dim3	module:measure:PAPI:PAPI_L2_DCM	module:measure:PAPI:PAPI_TOT_INS	module:measure:time:time
100	100	100	3972	123891011	0.022491
100	100	100	3143	123891007	0.021293
120	120	120	3577	213686222	0.036209
120	120	120	3469	213686222	0.036867
150	150	150	12386	416741962	0.070795
150	150	150	12446	416741961	0.07459399999999999
150	150	150	10996	416741959	0.07105300000000001
15	15	15	2629	760288	0.000447
15	15	15	2968	760288	0.000526
15	15	15	2947	760288	0.000641
200	200	200	79419	986615620	0.170342
200	200	200	77664	986615556	0.165921
100	100	100	3295	123891008	0.021084
200	200	200	83253	986615555	0.168026
20	20	20	2675	1326151	0.000549
20	20	20	2668	1326151	0.000505
20	20	20	2777	1326152	0.000535
25	25	25	2771	2276952	0.000671
25	25	25	2768	2276952	0.000841
25	25	25	2682	2276952	0.000668
2	2	2	2974	333598	0.000616
2	2	2	2588	333599	0.00036
2	2	2	2694	333599	0.000384
10	10	10	2660	460820	0.000369
300	300	300	285646	3326467970	0.562061
300	300	300	288095	3326467958	0.565391
300	300	300	288372	3326467957	0.5656679999999999
30	30	30	2718	3691852	0.001067
30	30	30	2770	3691852	0.0009389999999999999
30	30	30	2672	3691852	0.001063
35	35	35	2810	5663045	0.001297
35	35	35	2640	5663045	0.001256
35	35	35	2827	5663045	0.00133
400	400	400	643961	7881460752	1.327924
10	10	10	2622	460820	0.000382
400	400	400	649097	7881460729	1.32929
400	400	400	643538	7881461751	1.342968
40	40	40	2831	8282952	0.001677
40	40	40	2838	8282952	0.001806
40	40	40	2790	8282952	0.001733
45	45	45	2834	11656741	0.002327
45	45	45	2881	11656740	0.002421
45	45	45	2845	11656740	0.002553
4	4	4	2676	340864	0.000852
4	4	4	2637	340864	0.000328
10	10	10	2954	460820	0.000436
4	4	4	2645	340864	0.00038
500	500	500	1193241	15389594308	2.609755
500	500	500	1158693	15389594004	2.596935
500	500	500	1115803	15389595275	2.60198
50	50	50	2889	15850539	0.002953
50	50	50	3626	15850541	0.003326
50	50	50	2856	15850540	0.002971
600	600	600	2236911	26588867929	4.497214
600	600	600	2228682	26588868832	4.501013
600	600	600	2223801	26588868132	4.491011
110	110	110	3711	164723913	0.028297
60	60	60	3373	27106444	0.005274
60	60	60	3000	27106443	0.004869
60	60	60	2925	27106443	0.00489
6	6	6	2677	361503	0.000461
6	6	6	3064	361502	0.00059
6	6	6	2671	361502	0.000341
700	700	700	3726930	42217282503	7.075212
700	700	700	3771616	42217282548	7.110987
700	700	700	3748472	42217283974	7.110804
70	70	70	3017	42801745	0.0078
110	110	110	3245	164723915	0.028904
70	70	70	2837	42801746	0.007582
70	70	70	3017	42801745	0.007637
800	800	800	5556152	63012838115	10.622644
800	800	800	5547408	63012840417	10.661793
800	800	800	5572637	63012838080	10.621887
80	80	80	3143	63674450	0.011269
80	80	80	3262	63674450	0.011066
80	80	80	3082	63674450	0.01095
8	8	8	2662	398704	0.000514
8	8	8	2601	398704	0.000399
110	110	110	3672	164723916	0.028796
8	8	8	2657	398704	0.000348
900	900	900	8202156	89713534900	15.200581
900	900	900	8108045	89713543769	15.171776
900	900	900	8152925	89713534613	15.139089
90	90	90	3382	90449470	0.015991
90	90	90	3272	90449467	0.015708
90	90	90	3336	90449467	0.015799
120	120	120	3480	213686222	0.036196
