module:input:0:dim1	module:input:0:dim2	module:input:0:dim3	module:measure:PAPI:PAPI_L2_DCM	module:measure:PAPI:PAPI_TOT_INS	module:measure:time:time
1000	1000	1000	11418892	123057370998	20.816583
1000	1000	1000	11148994	123057370184	20.681008
110	110	110	4520	164723916	0.030306
110	110	110	3301	164723914	0.028184
120	120	120	3578	213686223	0.037476
120	120	120	3496	213686222	0.036551
120	120	120	3825	213686223	0.036786
150	150	150	9686	416741957	0.070107
150	150	150	9777	416741958	0.070169
150	150	150	13819	416742053	0.07427599999999999
15	15	15	2663	760288	0.000429
15	15	15	2560	760288	0.000419
1000	1000	1000	11176152	123057372720	20.829174
15	15	15	2617	760289	0.000463
2000	2000	2000	103637648	984228546359	169.695438
2000	2000	2000	102563572	984228539285	169.25081
2000	2000	2000	102853799	984228554601	169.660354
200	200	200	77550	986615553	0.166086
200	200	200	83159	986615561	0.172174
200	200	200	79184	986615560	0.172463
20	20	20	2734	1326151	0.000702
20	20	20	2691	1326151	0.000513
20	20	20	2571	1326151	0.0005240000000000001
100	100	100	3827	123891008	0.021129
25	25	25	2717	2276951	0.000763
25	25	25	2614	2276952	0.000719
25	25	25	2734	2276952	0.00084
2	2	2	2946	333599	0.001444
2	2	2	2643	333599	0.000369
2	2	2	2681	333599	0.0007560000000000001
300	300	300	280654	3326467970	0.562998
300	300	300	284775	3326467953	0.557677
300	300	300	285725	3326467964	0.568333
30	30	30	2745	3691852	0.000946
100	100	100	3172	123891007	0.021398
30	30	30	2809	3691852	0.001395
30	30	30	2662	3691852	0.0009829999999999999
35	35	35	3258	5663044	0.001596
35	35	35	2792	5663044	0.001398
35	35	35	2803	5663046	0.001345
400	400	400	642872	7881460727	1.332045
400	400	400	605546	7881460731	1.325822
400	400	400	666739	7881460752	1.337832
40	40	40	2772	8282953	0.001752
40	40	40	2759	8282952	0.001797
100	100	100	3486	123891007	0.021754
40	40	40	3188	8282952	0.001878
45	45	45	3374	11656741	0.002654
45	45	45	2813	11656740	0.002429
45	45	45	2896	11656740	0.00231
4	4	4	2652	340864	0.000479
4	4	4	2667	340864	0.000367
4	4	4	2580	340864	0.000374
500	500	500	1217187	15389593989	2.583894
500	500	500	1173046	15389593990	2.585512
500	500	500	1232695	15389594147	2.624822
10	10	10	2726	460820	0.000415
50	50	50	2776	15850540	0.00304
50	50	50	2779	15850540	0.003139
50	50	50	3259	15850540	0.003435
600	600	600	2261578	26588867880	4.46393
600	600	600	2188266	26588867879	4.466117
600	600	600	2291317	26588868320	4.527977
60	60	60	2999	27106442	0.005102
60	60	60	2976	27106442	0.005094
60	60	60	2905	27106443	0.005015
6	6	6	2673	361502	0.000361
10	10	10	2731	460820	0.000395
6	6	6	2549	361502	0.000345
6	6	6	2683	361502	0.000356
700	700	700	3786404	42217282525	7.080293
700	700	700	3815126	42217282605	7.109748
700	700	700	3843445	42217283305	7.140175
70	70	70	2988	42801746	0.007718
70	70	70	3039	42801746	0.007799
70	70	70	3149	42801747	0.007704
800	800	800	5529293	63012838013	10.550546
800	800	800	5415469	63012838027	10.581151
10	10	10	2670	460820	0.000453
800	800	800	5676298	63012838272	10.594961
80	80	80	3136	63674450	0.011209
80	80	80	3151	63674450	0.011246
80	80	80	3239	63674450	0.011218
8	8	8	2682	398705	0.000382
8	8	8	2677	398705	0.00039
8	8	8	2576	398705	0.00043
900	900	900	8101644	89713534498	15.038049
900	900	900	7980354	89713534533	15.069649
900	900	900	8242977	89713544280	15.233161
110	110	110	4018	164723935	0.029266
90	90	90	3267	90449466	0.015588
90	90	90	3271	90449467	0.015981
90	90	90	3152	90449465	0.015609
