module:input:0:N	module:input:0:ops	module:measure:time:time	module:output:0:rssUsage	module:output:0:vmUsage
100	686666.6875	0.01184	1328	272
100	686666.6875	0.011535	1328	272
10	866.6666870117188	0.207365	1300	128
10	866.6666870117188	0.010932	1300	128
10	866.6666870117188	0.011016	1300	128
2000	-385289728	6.720075	15152	15904
2000	-385289728	6.717627	15152	15904
2000	-385289728	6.714222	15152	15904
200	5413333.5	0.018589	1460	288
200	5413333.5	0.017827	1460	288
200	5413333.5	0.018208	1460	288
3000	-593524928	23.128263	34680	35456
3000	-593524928	23.120504	34680	35456
3000	-593524928	23.127052	34680	35456
300	18180000	0.034984	1660	484
300	18180000	0.035617	1660	484
300	18180000	0.0346	1660	484
4000	-251006288	55.061791	62000	62824
4000	-251006288	55.073157	62000	62824
4000	-251006288	55.085014	62000	62824
400	42986668	0.066468	1928	756
400	42986668	0.066469	1928	756
400	42986668	0.068541	1928	756
5000	347298944	107.566503	97148	98004
5000	347298944	107.586993	97148	98004
5000	347298944	107.598834	97148	98004
500	83833336	0.122543	2284	1228
500	83833336	0.118772	2284	1228
500	83833336	0.122851	2284	1228
50	88333.3359375	0.01094	1308	248
50	88333.3359375	0.01062	1308	248
50	88333.3359375	0.011068	1304	248
600	144720000	0.196083	2716	1660
600	144720000	0.196116	2716	1660
600	144720000	0.195953	2716	1660
700	229646672	0.303732	3228	2172
700	229646672	0.312958	3228	2172
700	229646672	0.303441	3228	2172
800	342613344	0.446019	3816	2748
800	342613344	0.44594	3816	2748
800	342613344	0.457088	3816	2748
900	487620000	0.628524	4480	3416
900	487620000	0.643117	4480	3416
900	487620000	0.628395	4480	3416
1000	668666688	0.855974	5228	4160
1000	668666688	0.856083	5228	4160
1000	668666688	0.855637	5228	4160
100	686666.6875	0.011759	1328	272
