module:pub_input::N	module:pub_input::ops	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start
1000	668666688	0.002636	1425331219.544585	1425331219.541942
1000	668666688	0.002634	1425331440.04423	1425331440.041589
1000	668666688	0.002633	1425331660.711663	1425331660.709023
100	686666.6875	0.000117	1425331206.693033	1425331206.692908
100	686666.6875	0.00012	1425331427.085087	1425331427.084959
100	686666.6875	0.000117	1425331647.76737	1425331647.767245
10	866.6666870117188	8.6e-05	1425331204.502228	1425331204.502135
10	866.6666870117188	8.2e-05	1425331424.860847	1425331424.860758
10	866.6666870117188	8.2e-05	1425331645.564074	1425331645.563984
2000	-385289728	0.01039	1425331227.636357	1425331227.625958
2000	-385289728	0.01039	1425331448.147152	1425331448.136752
2000	-385289728	0.010379	1425331668.802591	1425331668.792202
200	5413333.5	0.000194	1425331207.799381	1425331207.799181
200	5413333.5	0.000196	1425331428.215134	1425331428.21493
200	5413333.5	0.000196	1425331648.883191	1425331648.882987
3000	-593524928	0.02366	1425331252.63556	1425331252.611889
3000	-593524928	0.023653	1425331473.128883	1425331473.105219
3000	-593524928	0.023808	1425331693.807541	1425331693.783722
300	18180000	0.000318	1425331208.920608	1425331208.920283
300	18180000	0.000333	1425331429.348301	1425331429.347961
300	18180000	0.000322	1425331650.03538	1425331650.03505
4000	-251006288	0.041972	1425331310.384439	1425331310.342455
4000	-251006288	0.042133	1425331530.860604	1425331530.818452
4000	-251006288	0.041916	1425331751.578945	1425331751.537011
400	42986668	0.000534	1425331210.103545	1425331210.103003
400	42986668	0.00053	1425331430.540054	1425331430.539516
400	42986668	0.000546	1425331651.208001	1425331651.207448
5000	347298944	0.06525	1425331421.70092	1425331421.635651
5000	347298944	0.06521	1425331642.225914	1425331642.160686
5000	347298944	0.065247	1425331862.984125	1425331862.918862
500	83833336	0.000791	1425331211.332225	1425331211.331427
500	83833336	0.000768	1425331431.781184	1425331431.78041
500	83833336	0.000791	1425331652.454817	1425331652.454019
50	88333.3359375	9.6e-05	1425331205.597043	1425331205.596939
50	88333.3359375	9.6e-05	1425331425.975	1425331425.974896
50	88333.3359375	0.0001	1425331646.665695	1425331646.665587
600	144720000	0.001045	1425331212.66536	1425331212.664309
600	144720000	0.001044	1425331433.105088	1425331433.104037
600	144720000	0.001048	1425331653.790151	1425331653.789096
700	229646672	0.001369	1425331214.09662	1425331214.095244
700	229646672	0.001411	1425331434.561023	1425331434.559604
700	229646672	0.001368	1425331655.227971	1425331655.226595
800	342613344	0.001751	1425331215.70744	1425331215.705682
800	342613344	0.001746	1425331436.179415	1425331436.177661
800	342613344	0.001752	1425331656.836839	1425331656.835079
900	487620000	0.002166	1425331217.499785	1425331217.497611
900	487620000	0.002171	1425331437.996815	1425331437.994636
900	487620000	0.002164	1425331658.643692	1425331658.641521
