module:input:0:probDimension	module:pub_input::blockSize	module:pub_input::mem_max	module:pub_input::nnz	module:pub_input::t_max	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start	module:output:0:blocked_mflop_median	module:output:0:unblocked_mflop_max
8388608	1	5000	30	5	0.000527	1425334786.205029	1425334786.204493	170.2984687667083	340.5969375334166
8388608	1	5000	30	5	0.000142	1425337574.601691	1425337574.601541	170.0149516390536	340.0299032781072
1048576	1	500	30	5	0.000124	1425331331.164984	1425331331.164853	171.570645856549	343.141291713098
1048576	1	500	30	5	0.000125	1425334129.093985	1425334129.093853	171.4322553940951	342.8645107881903
1048576	1	500	30	5	0.000539	1425336918.293898	1425336918.293349	171.7468099911485	343.493619982297
131072	1	10000	40	5	0.000125	1425332669.69814	1425332669.698007	171.991914005891	343.983828011782
131072	1	10000	40	5	0.00013	1425335459.906839	1425335459.906701	170.3876689564544	340.7753379129088
131072	1	10000	40	5	0.000522	1425338255.793175	1425338255.792644	170.4652011686704	340.9304023373408
2097152	1	1000	40	5	0.0005330000000000001	1425331597.282929	1425331597.282387	170.315087755257	340.6301755105139
2097152	1	1000	40	5	0.000122	1425334394.442159	1425334394.44203	170.5151655741353	341.0303311482706
2097152	1	1000	40	5	0.000534	1425337183.70162	1425337183.701077	171.524386824508	343.048773649016
131072	1	100	40	5	0.000511	1425331217.211578	1425331217.211058	170.7350657351779	341.4701314703558
131072	1	100	40	5	0.000505	1425334014.575381	1425334014.574866	170.8308284276894	341.6616568553788
131072	1	100	40	5	0.00053	1425336804.393066	1425336804.392526	171.806476820981	343.612953641962
131072	1	50000	40	5	0.000501	1425333345.179496	1425333345.178986	171.3258058462073	342.6516116924146
131072	1	50000	40	5	0.000523	1425336133.585019	1425336133.584488	169.2850730136735	338.5701460273471
131072	1	50000	40	5	0.000545	1425338928.272198	1425338928.271644	169.3278284187458	338.6556568374917
8388608	1	5000	40	5	0.000511	1425331993.628222	1425331993.627701	170.316934509765	340.6338690195301
8388608	1	5000	40	5	0.000124	1425334791.833071	1425334791.83294	171.5731000217683	343.1462000435365
8388608	1	5000	40	5	0.000131	1425337580.386696	1425337580.386558	171.4827883907614	342.9655767815228
1048576	1	500	40	5	0.000128	1425331336.790675	1425331336.79054	169.719757405345	339.43951481069
1048576	1	500	40	5	0.000128	1425334134.881113	1425334134.880978	170.4225299109689	340.8450598219379
1048576	1	500	40	5	0.000123	1425336923.911727	1425336923.911596	170.4463069235038	340.8926138470077
1048576	1	10000	500	5	0.000123	1425332816.933268	1425332816.933137	189.4404654228201	378.8809308456403
1048576	1	10000	500	5	0.000122	1425335606.187327	1425335606.187197	187.8621117576211	375.7242235152421
1048576	1	10000	500	5	0.000125	1425338401.508599	1425338401.508467	189.2814610480604	378.5629220961208
131072	1	1000	500	5	0.000129	1425331745.278774	1425331745.278637	186.3455599883316	372.6911199766633
131072	1	1000	500	5	0.000126	1425334542.232069	1425334542.231936	187.8250265798215	375.6500531596431
131072	1	1000	500	5	0.000124	1425337331.422737	1425337331.422606	186.542763729996	373.085527459992
131072	1	50000	500	5	0.000123	1425333492.637924	1425333492.637794	187.021824148887	374.0436482977741
131072	1	50000	500	5	0.000124	1425336279.063713	1425336279.063582	186.6039672272929	373.2079344545859
131072	1	50000	500	5	0.000123	1425339076.943214	1425339076.943084	186.5845621440337	373.1691242880674
524288	1	5000	500	5	0.000123	1425332141.680015	1425332141.679884	187.0231602432871	374.0463204865742
524288	1	5000	500	5	0.000124	1425334937.552297	1425334937.552166	186.6123030257113	373.2246060514225
524288	1	5000	500	5	0.000123	1425337726.359627	1425337726.359497	189.4240425678097	378.8480851356193
131072	1	10000	50	5	0.000531	1425332676.644912	1425332676.644372	174.5062656174711	349.0125312349422
131072	1	10000	50	5	0.000513	1425335466.641877	1425335466.641355	175.831722070158	351.6634441403159
131072	1	10000	50	5	0.00013	1425338262.534781	1425338262.534645	174.5899486439451	349.1798972878902
1048576	1	1000	50	5	0.000131	1425331604.017907	1425331604.017768	174.5918338214549	349.1836676429098
1048576	1	1000	50	5	0.000126	1425334401.185986	1425334401.185853	175.85061984105	351.7012396821
1048576	1	1000	50	5	0.000129	1425337190.464127	1425337190.463992	174.5732056185463	349.1464112370925
131072	1	100	50	5	0.000123	1425331223.955144	1425331223.955014	174.9114599083948	349.8229198167895
131072	1	100	50	5	0.000128	1425334021.507722	1425334021.507587	174.7100158669021	349.4200317338042
131072	1	100	50	5	0.000128	1425336811.138654	1425336811.138519	176.335586049573	352.6711720991459
131072	1	50000	50	5	0.000123	1425333352.118554	1425333352.118425	174.6731569795446	349.3463139590893
131072	1	50000	50	5	0.000128	1425336140.323489	1425336140.323354	174.1080170511624	348.2160341023247
131072	1	50000	50	5	0.000525	1425338935.22878	1425338935.228245	176.022460800957	352.0449216019139
8388608	1	5000	50	5	0.000126	1425332000.394242	1425332000.394108	173.4816809977797	346.9633619955595
8388608	1	5000	50	5	0.000574	1425334798.573183	1425334798.572601	174.2477438802367	348.4954877604735
8388608	1	5000	50	5	0.000124	1425337587.108999	1425337587.108869	175.7738167047786	351.5476334095571
524288	1	500	50	5	0.000124	1425331343.553618	1425331343.553487	174.4514441120286	348.9028882240571
524288	1	500	50	5	0.000123	1425334141.61963	1425334141.6195	175.843982661119	351.6879653222381
524288	1	500	50	5	0.000124	1425336930.647724	1425336930.647593	174.6323195145225	349.2646390290451
8388608	1	10000	60	5	0.000123	1425332684.489995	1425332684.489866	175.770463484945	351.5409269698899
8388608	1	10000	60	5	0.000124	1425335474.460429	1425335474.460298	175.9225172215577	351.8450344431153
8388608	1	10000	60	5	0.000129	1425338270.577636	1425338270.577501	177.3555554596813	354.7111109193626
1048576	1	1000	60	5	0.000124	1425331611.828212	1425331611.828081	175.7802050362614	351.5604100725229
1048576	1	1000	60	5	0.000122	1425334409.03747	1425334409.037341	175.8545198866781	351.7090397733562
1048576	1	1000	60	5	0.000124	1425337198.283113	1425337198.282982	176.00840964613	352.01681929226
131072	1	100	60	5	0.000124	1425331231.993725	1425331231.993593	176.1156346063963	352.2312692127925
131072	1	100	60	5	0.000528	1425334029.550896	1425334029.550358	176.1069841058521	352.2139682117042
131072	1	100	60	5	0.00053	1425336818.946764	1425336818.946224	177.400004589064	354.8000091781279
131072	1	50000	60	5	0.000128	1425333359.9294	1425333359.929265	176.3577226771659	352.7154453543317
131072	1	50000	60	5	0.000123	1425336148.376377	1425336148.376248	175.8317408159338	351.6634816318676
131072	1	50000	60	5	0.000123	1425338943.26341	1425338943.26328	177.2736786077513	354.5473572155025
4194304	1	5000	60	5	0.000516	1425332008.216324	1425332008.215799	177.1929243548656	354.3858487097311
4194304	1	5000	60	5	0.000522	1425334806.387835	1425334806.387305	177.0139658076066	354.0279316152132
4194304	1	5000	60	5	0.000122	1425337594.946514	1425337594.946384	177.0154857169843	354.0309714339686
524288	1	500	60	5	0.000123	1425331351.381395	1425331351.381266	177.3192305511594	354.6384611023189
524288	1	500	60	5	0.000123	1425334149.671614	1425334149.671483	175.061491566939	350.1229831338781
524288	1	500	60	5	0.000123	1425336938.69274	1425336938.69261	177.1894025542722	354.3788051085445
131072	1	10000	70	5	0.000123	1425332693.655719	1425332693.655589	177.9291452193477	355.8582904386953
131072	1	10000	70	5	0.000123	1425335483.614988	1425335483.614858	179.2182472687814	358.4364945375629
131072	1	10000	70	5	0.000138	1425338279.762501	1425338279.762355	177.2327753263453	354.4655506526905
1048576	1	1000	70	5	0.000122	1425331620.793288	1425331620.793159	178.0078273683938	356.0156547367876
1048576	1	1000	70	5	0.000131	1425334418.243761	1425334418.243623	178.050736796578	356.1014735931561
1048576	1	1000	70	5	0.000122	1425337207.244339	1425337207.24421	176.9238764006067	353.8477528012133
131072	1	50000	70	5	0.000124	1425333368.855017	1425333368.854886	179.2843747494611	358.5687494989222
131072	1	50000	70	5	0.000122	1425336157.288707	1425336157.288577	179.2973220751072	358.5946441502144
131072	1	50000	70	5	0.000128	1425338952.421644	1425338952.421509	179.3349216827876	358.6698433655751
4194304	1	5000	70	5	0.000126	1425332017.418942	1425332017.418809	177.9609059974954	355.9218119949908
4194304	1	5000	70	5	0.000123	1425334815.339701	1425334815.339566	179.2237560289475	358.4475120578949
4194304	1	5000	70	5	0.000121	1425337604.160627	1425337604.160498	179.408495395592	358.8169907911839
524288	1	500	70	5	0.000123	1425331360.603409	1425331360.603279	177.8177430596481	355.6354861192961
524288	1	500	70	5	0.000122	1425334158.62147	1425334158.62134	178.9183647695066	357.8367295390132
524288	1	500	70	5	0.000123	1425336947.9034	1425336947.90327	178.7813818095323	357.5627636190646
131072	1	10000	80	5	0.000122	1425332703.731049	1425332703.73092	176.4578688666293	352.9157377332586
